bank_id,branch_id,acct_id,country
bank_0,1,0,US
bank_0,1,1,US
bank_0,1,2,US
bank_0,1,3,US
bank_0,1,4,US
bank_0,1,5,US
bank_0,1,6,US
bank_0,1,7,US
bank_0,1,8,US
bank_0,1,9,US
bank_0,1,10,US
bank_0,1,11,US
bank_0,1,12,US
bank_0,1,13,US
bank_0,1,14,US
bank_0,1,15,US
bank_0,1,16,US
bank_0,1,17,US
bank_0,1,18,US
bank_0,1,19,US
bank_0,1,20,US
bank_0,1,21,US
bank_0,1,22,US
bank_0,1,23,US
bank_0,1,24,US
bank_0,1,25,US
bank_0,1,26,US
bank_0,1,27,US
bank_0,1,28,US
bank_0,1,29,US
bank_0,1,30,US
bank_0,1,31,US
bank_0,1,32,US
bank_0,1,33,US
bank_0,1,34,US
bank_0,1,35,US
bank_0,1,36,US
bank_0,1,37,US
bank_0,1,38,US
bank_0,1,39,US
bank_0,1,40,US
bank_0,1,41,US
bank_0,1,42,US
bank_0,1,43,US
bank_0,1,44,US
bank_0,1,45,US
bank_0,1,46,US
bank_0,1,47,US
bank_0,1,48,US
bank_0,1,49,US
bank_0,1,50,US
bank_0,1,51,US
bank_0,1,52,US
bank_0,1,53,US
bank_0,1,54,US
bank_0,1,55,US
bank_0,1,56,US
bank_0,1,57,US
bank_0,1,58,US
bank_0,1,59,US
bank_0,1,60,US
bank_0,1,61,US
bank_0,1,62,US
bank_0,1,63,US
bank_0,1,64,US
bank_0,1,65,US
bank_0,1,66,US
bank_0,1,67,US
bank_0,1,68,US
bank_0,1,69,US
bank_0,1,70,US
bank_0,1,71,US
bank_0,1,72,US
bank_0,1,73,US
bank_0,1,74,US
bank_0,1,75,US
bank_0,1,76,US
bank_0,1,77,US
bank_0,1,78,US
bank_0,1,79,US
bank_0,1,80,US
bank_0,1,81,US
bank_0,1,82,US
bank_0,1,83,US
bank_0,1,84,US
bank_0,1,85,US
bank_0,1,86,US
bank_0,1,87,US
bank_0,1,88,US
