bank_id,branch_id,acct_id,type
bank_0,1,0,SAV
bank_0,1,1,SAV
bank_0,1,2,SAV
bank_0,1,3,SAV
bank_0,1,4,SAV
bank_0,1,5,SAV
bank_0,1,6,SAV
bank_0,1,7,SAV
bank_0,1,8,SAV
bank_0,1,9,SAV
bank_0,1,10,SAV
bank_0,1,11,SAV
bank_0,1,12,SAV
bank_0,1,13,SAV
bank_0,1,14,SAV
bank_0,1,15,SAV
bank_0,1,16,SAV
bank_0,1,17,SAV
bank_0,1,18,SAV
bank_0,1,19,SAV
bank_0,1,20,SAV
bank_0,1,21,SAV
bank_0,1,22,SAV
bank_0,1,23,SAV
bank_0,1,24,SAV
bank_0,1,25,SAV
bank_0,1,26,SAV
bank_0,1,27,SAV
bank_0,1,28,SAV
bank_0,1,29,SAV
bank_0,1,30,SAV
bank_0,1,31,SAV
bank_0,1,32,SAV
bank_0,1,33,SAV
bank_0,1,34,SAV
bank_0,1,35,SAV
bank_0,1,36,SAV
bank_0,1,37,SAV
bank_0,1,38,SAV
bank_0,1,39,SAV
bank_0,1,40,SAV
bank_0,1,41,SAV
bank_0,1,42,SAV
bank_0,1,43,SAV
bank_0,1,44,SAV
bank_0,1,45,SAV
bank_0,1,46,SAV
bank_0,1,47,SAV
bank_0,1,48,SAV
bank_0,1,49,SAV
bank_0,1,50,SAV
bank_0,1,51,SAV
bank_0,1,52,SAV
bank_0,1,53,SAV
bank_0,1,54,SAV
bank_0,1,55,SAV
bank_0,1,56,SAV
bank_0,1,57,SAV
bank_0,1,58,SAV
bank_0,1,59,SAV
bank_0,1,60,SAV
bank_0,1,61,SAV
bank_0,1,62,SAV
bank_0,1,63,SAV
bank_0,1,64,SAV
bank_0,1,65,SAV
bank_0,1,66,SAV
bank_0,1,67,SAV
bank_0,1,68,SAV
bank_0,1,69,SAV
bank_0,1,70,SAV
bank_0,1,71,SAV
bank_0,1,72,SAV
bank_0,1,73,SAV
bank_0,1,74,SAV
bank_0,1,75,SAV
bank_0,1,76,SAV
bank_0,1,77,SAV
bank_0,1,78,SAV
bank_0,1,79,SAV
bank_0,1,80,SAV
bank_0,1,81,SAV
bank_0,1,82,SAV
bank_0,1,83,SAV
bank_0,1,84,SAV
bank_0,1,85,SAV
bank_0,1,86,SAV
bank_0,1,87,SAV
bank_0,1,88,SAV
bank_0,1,89,SAV
bank_0,1,90,SAV
bank_0,1,91,SAV
bank_0,1,92,SAV
bank_0,1,93,SAV
bank_0,1,94,SAV
bank_0,1,95,SAV
bank_0,1,96,SAV
bank_0,1,97,SAV
bank_0,1,98,SAV
bank_0,1,99,SAV
bank_0,1,100,SAV
bank_0,1,101,SAV
bank_0,1,102,SAV
bank_0,1,103,SAV
bank_0,1,104,SAV
bank_0,1,105,SAV
bank_0,1,106,SAV
bank_0,1,107,SAV
bank_0,1,108,SAV
bank_0,1,109,SAV
bank_0,1,110,SAV
bank_0,1,111,SAV
bank_0,1,112,SAV
bank_0,1,113,SAV
bank_0,1,114,SAV
bank_0,1,115,SAV
bank_0,1,116,SAV
bank_0,1,117,SAV
bank_0,1,118,SAV
bank_0,1,119,SAV
bank_0,1,120,SAV
bank_0,1,121,SAV
bank_0,1,122,SAV
bank_0,1,123,SAV
bank_0,1,124,SAV
bank_0,1,125,SAV
bank_0,1,126,SAV
bank_0,1,127,SAV
bank_0,1,128,SAV
bank_0,1,129,SAV
bank_0,1,130,SAV
bank_0,1,131,SAV
bank_0,1,132,SAV
bank_0,1,133,SAV
bank_0,1,134,SAV
bank_0,1,135,SAV
bank_0,1,136,SAV
bank_0,1,137,SAV
bank_0,1,138,SAV
bank_0,1,139,SAV
bank_0,1,140,SAV
bank_0,1,141,SAV
bank_0,1,142,SAV
bank_0,1,143,SAV
bank_0,1,144,SAV
bank_0,1,145,SAV
bank_0,1,146,SAV
bank_0,1,147,SAV
bank_0,1,148,SAV
bank_0,1,149,SAV
bank_0,1,150,SAV
bank_0,1,151,SAV
bank_0,1,152,SAV
bank_0,1,153,SAV
bank_0,1,154,SAV
bank_0,1,155,SAV
bank_0,1,156,SAV
bank_0,1,157,SAV
bank_0,1,158,SAV
bank_0,1,159,SAV
bank_0,1,160,SAV
bank_0,1,161,SAV
bank_0,1,162,SAV
bank_0,1,163,SAV
bank_0,1,164,SAV
bank_0,1,165,SAV
bank_0,1,166,SAV
bank_0,1,167,SAV
bank_0,1,168,SAV
bank_0,1,169,SAV
bank_0,1,170,SAV
bank_0,1,171,SAV
bank_0,1,172,SAV
bank_0,1,173,SAV
bank_0,1,174,SAV
bank_0,1,175,SAV
bank_0,1,176,SAV
bank_0,1,177,SAV
bank_0,1,178,SAV
bank_0,1,179,SAV
bank_0,1,180,SAV
bank_0,1,181,SAV
bank_0,1,182,SAV
bank_0,1,183,SAV
bank_0,1,184,SAV
bank_0,1,185,SAV
bank_0,1,186,SAV
bank_0,1,187,SAV
bank_0,1,188,SAV
bank_0,1,189,SAV
bank_0,1,190,SAV
bank_0,1,191,SAV
bank_0,1,192,SAV
bank_0,1,193,SAV
bank_0,1,194,SAV
bank_0,1,195,SAV
bank_0,1,196,SAV
bank_0,1,197,SAV
bank_0,1,198,SAV
bank_0,1,199,SAV
bank_0,1,200,SAV
bank_0,1,201,SAV
bank_0,1,202,SAV
bank_0,1,203,SAV
bank_0,1,204,SAV
bank_0,1,205,SAV
bank_0,1,206,SAV
bank_0,1,207,SAV
bank_0,1,208,SAV
bank_0,1,209,SAV
bank_0,1,210,SAV
bank_0,1,211,SAV
bank_0,1,212,SAV
bank_0,1,213,SAV
bank_0,1,214,SAV
bank_0,1,215,SAV
bank_0,1,216,SAV
bank_0,1,217,SAV
bank_0,1,218,SAV
bank_0,1,219,SAV
bank_0,1,220,SAV
bank_0,1,221,SAV
bank_0,1,222,SAV
bank_0,1,223,SAV
bank_0,1,224,SAV
bank_0,1,225,SAV
bank_0,1,226,SAV
bank_0,1,227,SAV
bank_0,1,228,SAV
bank_0,1,229,SAV
bank_0,1,230,SAV
