bank_id,branch_id,acct_id,city
bank_2,1,0,Elliston
bank_2,1,1,East Richardbury
bank_2,1,2,Gregoryport
bank_2,1,3,Port Pamelaton
bank_2,1,4,Courtneytown
bank_2,1,5,Saramouth
bank_2,1,6,Masseytown
bank_2,1,7,East Beverlyburgh
bank_2,1,8,Jamesberg
bank_2,1,9,Jasonview
bank_2,1,10,Port Richardstad
bank_2,1,11,South William
bank_2,1,12,Lake Stevenmouth
bank_2,1,13,Port Virginiaville
bank_2,1,14,Wendyport
bank_2,1,15,Lake Randystad
bank_2,1,16,Juanmouth
bank_2,1,17,Jasonburgh
bank_2,1,18,Port Maryton
bank_2,1,19,North Patrick
bank_2,1,20,Kimhaven
bank_2,1,21,South Vanessa
bank_2,1,22,Kylefort
bank_2,1,23,Port Michaelview
bank_2,1,24,Lake Christopherland
bank_2,1,25,North David
bank_2,1,26,Kimberlyside
bank_2,1,27,Lake Wesleyfurt
bank_2,1,28,East Katie
bank_2,1,29,Port Eric
bank_2,1,30,New Kimberlyport
bank_2,1,31,Johnsonfort
bank_2,1,32,New Miketown
bank_2,1,33,West Alex
bank_2,1,34,Joshuafurt
bank_2,1,35,Johnsonstad
bank_2,1,36,Shawnaville
bank_2,1,37,Thompsonton
bank_2,1,38,Lake Noah
bank_2,1,39,Mariamouth
bank_2,1,40,Adamsville
bank_2,1,41,Port Ryan
bank_2,1,42,Lake Robertbury
bank_2,1,43,North Katherine
bank_2,1,44,South Christopher
bank_2,1,45,Danielton
bank_2,1,46,Port Michelletown
bank_2,1,47,Burkeborough
bank_2,1,48,West Justinbury
bank_2,1,49,North Courtneyton
bank_2,1,50,North Courtneyberg
bank_2,1,51,Harristown
bank_2,1,52,Nancyburgh
bank_2,1,53,Martinezbury
bank_2,1,54,Wrightstad
bank_2,1,55,Port Markshire
bank_2,1,56,New Danahaven
bank_2,1,57,Josephmouth
bank_2,1,58,South Stephanieville
bank_2,1,59,Danielville
bank_2,1,60,Victoriaview
bank_2,1,61,Port Christina
bank_2,1,62,Brittanyland
bank_2,1,63,Anthonytown
bank_2,1,64,Georgemouth
bank_2,1,65,Gutierrezberg
bank_2,1,66,Frederickton
bank_2,1,67,Timothyhaven
bank_2,1,68,Malikborough
bank_2,1,69,Port Anthony
bank_2,1,70,Garciaside
bank_2,1,71,North Alan
bank_2,1,72,Patriciamouth
bank_2,1,73,Lake Jerry
bank_2,1,74,West Betty
bank_2,1,75,Gonzaleston
bank_2,1,76,Lake Maryborough
bank_2,1,77,Davidland
bank_2,1,78,Lake Davidville
bank_2,1,79,Pamelafurt
bank_2,1,80,Erictown
bank_2,1,81,East Susan
bank_2,1,82,West Sarah
bank_2,1,83,North Tamaraborough
bank_2,1,84,South Alyssa
bank_2,1,85,Port Margaret
bank_2,1,86,Jasonville
bank_2,1,87,Jonesville
bank_2,1,88,North Kimberly
bank_2,1,89,New Joseph
bank_2,1,90,Foleyside
bank_2,1,91,New Zachary
bank_2,1,92,West Melissa
bank_2,1,93,New Mary
bank_2,1,94,Patriciafort
bank_2,1,95,Hendrickstown
bank_2,1,96,Christopherchester
bank_2,1,97,West Kenneth
bank_2,1,98,East Robert
bank_2,1,99,Rodriguezfurt
bank_2,1,100,Maryport
