bank_id,branch_id,acct_id,country
bank_2,1,0,US
bank_2,1,1,US
bank_2,1,2,US
bank_2,1,3,US
bank_2,1,4,US
bank_2,1,5,US
bank_2,1,6,US
bank_2,1,7,US
bank_2,1,8,US
bank_2,1,9,US
bank_2,1,10,US
bank_2,1,11,US
bank_2,1,12,US
bank_2,1,13,US
bank_2,1,14,US
bank_2,1,15,US
bank_2,1,16,US
bank_2,1,17,US
bank_2,1,18,US
bank_2,1,19,US
bank_2,1,20,US
bank_2,1,21,US
bank_2,1,22,US
bank_2,1,23,US
bank_2,1,24,US
bank_2,1,25,US
bank_2,1,26,US
bank_2,1,27,US
bank_2,1,28,US
bank_2,1,29,US
bank_2,1,30,US
bank_2,1,31,US
bank_2,1,32,US
bank_2,1,33,US
bank_2,1,34,US
bank_2,1,35,US
bank_2,1,36,US
bank_2,1,37,US
bank_2,1,38,US
bank_2,1,39,US
bank_2,1,40,US
bank_2,1,41,US
bank_2,1,42,US
bank_2,1,43,US
bank_2,1,44,US
bank_2,1,45,US
bank_2,1,46,US
bank_2,1,47,US
bank_2,1,48,US
bank_2,1,49,US
bank_2,1,50,US
bank_2,1,51,US
bank_2,1,52,US
bank_2,1,53,US
bank_2,1,54,US
bank_2,1,55,US
bank_2,1,56,US
bank_2,1,57,US
bank_2,1,58,US
bank_2,1,59,US
bank_2,1,60,US
bank_2,1,61,US
bank_2,1,62,US
bank_2,1,63,US
bank_2,1,64,US
bank_2,1,65,US
bank_2,1,66,US
bank_2,1,67,US
bank_2,1,68,US
bank_2,1,69,US
bank_2,1,70,US
bank_2,1,71,US
bank_2,1,72,US
bank_2,1,73,US
bank_2,1,74,US
bank_2,1,75,US
bank_2,1,76,US
bank_2,1,77,US
bank_2,1,78,US
bank_2,1,79,US
bank_2,1,80,US
bank_2,1,81,US
bank_2,1,82,US
bank_2,1,83,US
bank_2,1,84,US
bank_2,1,85,US
bank_2,1,86,US
bank_2,1,87,US
bank_2,1,88,US
bank_2,1,89,US
bank_2,1,90,US
bank_2,1,91,US
