bank_id,branch_id,acct_id,gender
bank_2,1,0,M
bank_2,1,1,M
bank_2,1,2,F
bank_2,1,3,M
bank_2,1,4,M
bank_2,1,5,M
bank_2,1,6,M
bank_2,1,7,F
bank_2,1,8,M
bank_2,1,9,M
bank_2,1,10,M
bank_2,1,11,F
bank_2,1,12,F
bank_2,1,13,M
bank_2,1,14,F
bank_2,1,15,F
bank_2,1,16,F
bank_2,1,17,F
bank_2,1,18,F
bank_2,1,19,F
bank_2,1,20,F
bank_2,1,21,M
bank_2,1,22,M
bank_2,1,23,M
bank_2,1,24,M
bank_2,1,25,F
bank_2,1,26,F
bank_2,1,27,M
bank_2,1,28,F
bank_2,1,29,F
bank_2,1,30,M
bank_2,1,31,F
bank_2,1,32,M
bank_2,1,33,M
bank_2,1,34,F
bank_2,1,35,M
bank_2,1,36,F
bank_2,1,37,F
bank_2,1,38,F
bank_2,1,39,F
bank_2,1,40,F
bank_2,1,41,F
bank_2,1,42,M
bank_2,1,43,M
bank_2,1,44,M
bank_2,1,45,M
bank_2,1,46,F
bank_2,1,47,M
bank_2,1,48,M
bank_2,1,49,F
bank_2,1,50,M
bank_2,1,51,F
bank_2,1,52,F
bank_2,1,53,F
bank_2,1,54,F
bank_2,1,55,F
bank_2,1,56,F
bank_2,1,57,M
bank_2,1,58,M
bank_2,1,59,F
bank_2,1,60,F
bank_2,1,61,M
bank_2,1,62,M
bank_2,1,63,F
bank_2,1,64,F
bank_2,1,65,F
bank_2,1,66,M
bank_2,1,67,M
bank_2,1,68,F
bank_2,1,69,F
bank_2,1,70,F
bank_2,1,71,F
bank_2,1,72,M
bank_2,1,73,F
bank_2,1,74,F
bank_2,1,75,M
bank_2,1,76,F
bank_2,1,77,F
bank_2,1,78,M
bank_2,1,79,F
bank_2,1,80,F
bank_2,1,81,F
bank_2,1,82,F
bank_2,1,83,F
bank_2,1,84,M
bank_2,1,85,F
bank_2,1,86,F
bank_2,1,87,M
bank_2,1,88,M
bank_2,1,89,M
bank_2,1,90,M
bank_2,1,91,M
bank_2,1,92,M
bank_2,1,93,M
bank_2,1,94,F
bank_2,1,95,F
bank_2,1,96,F
bank_2,1,97,F
bank_2,1,98,F
bank_2,1,99,M
bank_2,1,100,F
bank_2,1,101,F
bank_2,1,102,M
bank_2,1,103,F
bank_2,1,104,F
bank_2,1,105,F
bank_2,1,106,F
bank_2,1,107,M
bank_2,1,108,M
bank_2,1,109,M
bank_2,1,110,M
bank_2,1,111,M
bank_2,1,112,M
bank_2,1,113,M
bank_2,1,114,M
bank_2,1,115,M
bank_2,1,116,M
bank_2,1,117,M
bank_2,1,118,F
bank_2,1,119,F
bank_2,1,120,M
bank_2,1,121,F
bank_2,1,122,F
bank_2,1,123,F
bank_2,1,124,F
bank_2,1,125,M
bank_2,1,126,F
bank_2,1,127,F
bank_2,1,128,M
bank_2,1,129,F
bank_2,1,130,M
bank_2,1,131,F
bank_2,1,132,M
bank_2,1,133,M
bank_2,1,134,F
bank_2,1,135,M
bank_2,1,136,M
bank_2,1,137,F
bank_2,1,138,F
bank_2,1,139,M
bank_2,1,140,M
bank_2,1,141,F
bank_2,1,142,F
bank_2,1,143,M
bank_2,1,144,F
bank_2,1,145,M
bank_2,1,146,F
bank_2,1,147,F
bank_2,1,148,F
bank_2,1,149,F
bank_2,1,150,F
bank_2,1,151,F
bank_2,1,152,F
bank_2,1,153,M
bank_2,1,154,F
bank_2,1,155,F
bank_2,1,156,M
bank_2,1,157,F
bank_2,1,158,M
bank_2,1,159,F
bank_2,1,160,F
bank_2,1,161,M
bank_2,1,162,F
bank_2,1,163,F
bank_2,1,164,M
bank_2,1,165,M
bank_2,1,166,F
bank_2,1,167,F
bank_2,1,168,F
bank_2,1,169,M
bank_2,1,170,F
bank_2,1,171,M
bank_2,1,172,F
bank_2,1,173,F
bank_2,1,174,F
bank_2,1,175,F
bank_2,1,176,M
bank_2,1,177,M
bank_2,1,178,F
bank_2,1,179,M
bank_2,1,180,F
bank_2,1,181,M
bank_2,1,182,M
bank_2,1,183,M
bank_2,1,184,F
bank_2,1,185,F
bank_2,1,186,M
bank_2,1,187,M
bank_2,1,188,M
bank_2,1,189,M
bank_2,1,190,F
bank_2,1,191,F
bank_2,1,192,F
bank_2,1,193,F
bank_2,1,194,M
bank_2,1,195,F
bank_2,1,196,F
bank_2,1,197,F
bank_2,1,198,M
bank_2,1,199,F
bank_2,1,200,F
bank_2,1,201,F
bank_2,1,202,F
bank_2,1,203,F
bank_2,1,204,F
bank_2,1,205,M
bank_2,1,206,F
bank_2,1,207,M
bank_2,1,208,F
bank_2,1,209,M
bank_2,1,210,M
bank_2,1,211,M
bank_2,1,212,F
bank_2,1,213,F
bank_2,1,214,M
bank_2,1,215,F
bank_2,1,216,F
bank_2,1,217,F
bank_2,1,218,M
bank_2,1,219,F
bank_2,1,220,M
bank_2,1,221,M
bank_2,1,222,F
bank_2,1,223,F
bank_2,1,224,F
bank_2,1,225,F
bank_2,1,226,F
bank_2,1,227,M
bank_2,1,228,F
bank_2,1,229,F
bank_2,1,230,M
bank_2,1,231,M
bank_2,1,232,F
bank_2,1,233,M
bank_2,1,234,M
bank_2,1,235,F
bank_2,1,236,M
bank_2,1,237,M
bank_2,1,238,F
bank_2,1,239,M
bank_2,1,240,F
bank_2,1,241,M
bank_2,1,242,F
bank_2,1,243,M
bank_2,1,244,M
bank_2,1,245,F
bank_2,1,246,F
bank_2,1,247,F
bank_2,1,248,M
bank_2,1,249,F
bank_2,1,250,M
bank_2,1,251,F
bank_2,1,252,M
bank_2,1,253,F
bank_2,1,254,F
bank_2,1,255,F
bank_2,1,256,M
bank_2,1,257,M
bank_2,1,258,M
bank_2,1,259,F
bank_2,1,260,M
bank_2,1,261,M
bank_2,1,262,F
bank_2,1,263,M
bank_2,1,264,M
bank_2,1,265,M
bank_2,1,266,M
bank_2,1,267,F
bank_2,1,268,F
bank_2,1,269,F
bank_2,1,270,F
bank_2,1,271,M
bank_2,1,272,M
bank_2,1,273,F
bank_2,1,274,M
bank_2,1,275,M
bank_2,1,276,M
bank_2,1,277,F
bank_2,1,278,M
bank_2,1,279,F
bank_2,1,280,M
bank_2,1,281,M
bank_2,1,282,F
bank_2,1,283,F
bank_2,1,284,F
bank_2,1,285,M
bank_2,1,286,M
bank_2,1,287,F
bank_2,1,288,M
bank_2,1,289,F
bank_2,1,290,F
bank_2,1,291,M
bank_2,1,292,M
bank_2,1,293,F
bank_2,1,294,M
bank_2,1,295,F
bank_2,1,296,F
bank_2,1,297,F
bank_2,1,298,M
bank_2,1,299,M
bank_2,1,300,F
bank_2,1,301,M
bank_2,1,302,M
bank_2,1,303,F
bank_2,1,304,M
bank_2,1,305,F
bank_2,1,306,F
