bank_id,branch_id,acct_id,city
bank_4,1,0,Rickyland
bank_4,1,1,Port Krystal
bank_4,1,2,Charlotteborough
bank_4,1,3,New Jasminebury
bank_4,1,4,North Christopherland
bank_4,1,5,Mosleyhaven
bank_4,1,6,Connieborough
bank_4,1,7,West Rachel
bank_4,1,8,Port Jenniferland
bank_4,1,9,Port Marioberg
bank_4,1,10,Ericside
bank_4,1,11,Lake Kelly
bank_4,1,12,Port Melissastad
bank_4,1,13,West Jerryville
bank_4,1,14,Kirkside
bank_4,1,15,Port Michaelstad
bank_4,1,16,West Ian
bank_4,1,17,North Kelly
bank_4,1,18,West Michelle
bank_4,1,19,Danielland
bank_4,1,20,Lauraland
bank_4,1,21,Scottside
bank_4,1,22,Lake Shirleyfort
bank_4,1,23,Kimberlyville
bank_4,1,24,North Pamela
bank_4,1,25,Teresastad
bank_4,1,26,South Michael
bank_4,1,27,Port James
bank_4,1,28,Riveraborough
bank_4,1,29,East Gregory
bank_4,1,30,Port Lindaburgh
bank_4,1,31,Amyside
bank_4,1,32,Jonview
bank_4,1,33,Woodsfort
bank_4,1,34,South Eric
bank_4,1,35,Lake Leahfurt
bank_4,1,36,Cohenchester
bank_4,1,37,Bryanmouth
bank_4,1,38,Smithton
bank_4,1,39,Harrisfort
bank_4,1,40,Benderland
bank_4,1,41,New Joe
bank_4,1,42,West Michael
bank_4,1,43,Michaeltown
bank_4,1,44,Emilyfurt
bank_4,1,45,Rebeccamouth
bank_4,1,46,West Ruth
bank_4,1,47,Murphyland
bank_4,1,48,East Donald
bank_4,1,49,Johnsonfurt
bank_4,1,50,West Latasha
bank_4,1,51,Jenniferland
bank_4,1,52,Shieldsside
bank_4,1,53,Ricefurt
bank_4,1,54,New Barbaraside
bank_4,1,55,Hessside
bank_4,1,56,Williamfurt
bank_4,1,57,West Angela
bank_4,1,58,South Kenneth
bank_4,1,59,Port Douglasmouth
bank_4,1,60,Lake Sherylville
bank_4,1,61,Richardsonbury
bank_4,1,62,Kellyhaven
bank_4,1,63,Port Charles
bank_4,1,64,Lake Jeffreymouth
bank_4,1,65,North Michellechester
bank_4,1,66,West Madisonfort
bank_4,1,67,West Jacquelineside
bank_4,1,68,East Catherine
bank_4,1,69,Walkermouth
bank_4,1,70,West Amanda
bank_4,1,71,Cathybury
bank_4,1,72,New Samanthafort
bank_4,1,73,Josephborough
bank_4,1,74,Taylorville
bank_4,1,75,Christinaport
bank_4,1,76,Kimberlychester
bank_4,1,77,Selenashire
bank_4,1,78,North Jeffery
bank_4,1,79,Port Lisa
bank_4,1,80,Richardsonland
bank_4,1,81,Patriciaport
bank_4,1,82,Alexabury
bank_4,1,83,South Michaelburgh
bank_4,1,84,West Francesville
bank_4,1,85,Dayville
bank_4,1,86,Feliciabury
bank_4,1,87,Vazquezfurt
bank_4,1,88,Robertsfort
bank_4,1,89,South Daniel
bank_4,1,90,Port Brianhaven
bank_4,1,91,Lake Richardland
bank_4,1,92,Lake Emily
bank_4,1,93,Beckyberg
bank_4,1,94,Port Barbara
bank_4,1,95,Dianabury
bank_4,1,96,Port Cathyborough
bank_4,1,97,Lake Victor
bank_4,1,98,South Kylefurt
bank_4,1,99,South Darius
bank_4,1,100,Port Calvinberg
bank_4,1,101,East Amytown
bank_4,1,102,Ruthtown
bank_4,1,103,North Kevinchester
bank_4,1,104,New Lori
bank_4,1,105,New Matthewhaven
bank_4,1,106,Perezburgh
bank_4,1,107,Valenciamouth
bank_4,1,108,Adrianbury
bank_4,1,109,Port Margaretville
bank_4,1,110,South Joan
bank_4,1,111,New Christopher
bank_4,1,112,Livingstonfort
bank_4,1,113,North Mitchellside
