bank_id,branch_id,acct_id,gender
bank_4,1,0,F
bank_4,1,1,F
bank_4,1,2,F
bank_4,1,3,F
bank_4,1,4,F
bank_4,1,5,F
bank_4,1,6,M
bank_4,1,7,M
bank_4,1,8,F
bank_4,1,9,M
bank_4,1,10,M
bank_4,1,11,M
bank_4,1,12,F
bank_4,1,13,F
bank_4,1,14,M
bank_4,1,15,M
bank_4,1,16,M
bank_4,1,17,M
bank_4,1,18,F
bank_4,1,19,M
bank_4,1,20,M
bank_4,1,21,F
bank_4,1,22,M
bank_4,1,23,F
bank_4,1,24,M
bank_4,1,25,M
bank_4,1,26,M
bank_4,1,27,M
bank_4,1,28,M
bank_4,1,29,M
bank_4,1,30,M
bank_4,1,31,M
bank_4,1,32,M
bank_4,1,33,M
bank_4,1,34,F
bank_4,1,35,M
bank_4,1,36,M
bank_4,1,37,F
bank_4,1,38,M
bank_4,1,39,F
bank_4,1,40,F
bank_4,1,41,M
bank_4,1,42,F
bank_4,1,43,M
bank_4,1,44,F
bank_4,1,45,M
bank_4,1,46,F
bank_4,1,47,M
bank_4,1,48,M
bank_4,1,49,M
bank_4,1,50,M
bank_4,1,51,F
bank_4,1,52,F
bank_4,1,53,M
bank_4,1,54,M
bank_4,1,55,F
bank_4,1,56,F
bank_4,1,57,F
bank_4,1,58,M
bank_4,1,59,M
bank_4,1,60,F
bank_4,1,61,F
bank_4,1,62,M
bank_4,1,63,F
bank_4,1,64,M
bank_4,1,65,M
bank_4,1,66,F
bank_4,1,67,F
bank_4,1,68,F
bank_4,1,69,M
bank_4,1,70,F
bank_4,1,71,M
bank_4,1,72,M
bank_4,1,73,M
bank_4,1,74,M
bank_4,1,75,F
bank_4,1,76,M
bank_4,1,77,M
bank_4,1,78,M
bank_4,1,79,F
bank_4,1,80,F
bank_4,1,81,M
bank_4,1,82,F
bank_4,1,83,M
bank_4,1,84,M
bank_4,1,85,F
bank_4,1,86,M
bank_4,1,87,M
bank_4,1,88,M
bank_4,1,89,M
bank_4,1,90,M
bank_4,1,91,M
bank_4,1,92,F
bank_4,1,93,M
bank_4,1,94,F
bank_4,1,95,M
bank_4,1,96,F
bank_4,1,97,M
bank_4,1,98,M
bank_4,1,99,F
bank_4,1,100,M
bank_4,1,101,F
bank_4,1,102,F
bank_4,1,103,F
bank_4,1,104,F
bank_4,1,105,M
bank_4,1,106,F
bank_4,1,107,M
bank_4,1,108,M
bank_4,1,109,F
bank_4,1,110,M
bank_4,1,111,F
bank_4,1,112,F
bank_4,1,113,M
bank_4,1,114,F
bank_4,1,115,M
bank_4,1,116,M
bank_4,1,117,M
bank_4,1,118,M
bank_4,1,119,M
bank_4,1,120,M
bank_4,1,121,F
bank_4,1,122,F
bank_4,1,123,F
bank_4,1,124,F
bank_4,1,125,F
bank_4,1,126,M
bank_4,1,127,F
bank_4,1,128,M
bank_4,1,129,M
bank_4,1,130,M
bank_4,1,131,M
bank_4,1,132,F
bank_4,1,133,M
