tran_id,bene_bank_id
38594,bank_2
32743,bank_2
1356,bank_3
3,bank_1
13059,bank_1
25327,bank_1
38672,bank_1
50595,bank_1
62360,bank_1
74863,bank_1
88541,bank_1
65134,bank_1
45473,bank_4
2789,bank_3
37649,bank_2
63381,bank_2
19190,bank_2
39905,bank_4
52716,bank_4
59268,bank_4
64311,bank_2
15689,bank_2
40406,bank_2
2902,bank_2
28080,bank_2
77836,bank_2
52649,bank_2
26833,bank_0
69825,bank_4
71689,bank_4
10938,bank_4
23437,bank_4
37403,bank_4
49066,bank_4
62229,bank_4
73997,bank_4
86114,bank_4
5,bank_2
12873,bank_2
25313,bank_2
38397,bank_2
50710,bank_2
62883,bank_2
75427,bank_2
87437,bank_2
75605,bank_2
21708,bank_2
54762,bank_2
58990,bank_2
10884,bank_2
24396,bank_2
36635,bank_2
48941,bank_2
60878,bank_2
73978,bank_2
85969,bank_2
23488,bank_2
83488,bank_4
3460,bank_4
59987,bank_4
71986,bank_4
83762,bank_4
20566,bank_3
39644,bank_3
13733,bank_2
224,bank_2
87014,bank_2
2258,bank_2
50377,bank_2
15770,bank_2
38471,bank_2
75902,bank_2
25028,bank_2
62783,bank_2
43018,bank_2
5716,bank_2
67888,bank_2
56767,bank_2
80858,bank_2
19527,bank_2
30427,bank_2
58492,bank_3
45261,bank_3
7,bank_3
13422,bank_3
25501,bank_3
37949,bank_3
51133,bank_3
64051,bank_3
75174,bank_3
87122,bank_3
23069,bank_3
8,bank_2
14006,bank_2
26745,bank_2
38608,bank_2
51181,bank_2
63967,bank_2
75221,bank_2
88342,bank_2
27410,bank_2
43743,bank_2
43330,bank_2
26472,bank_2
469,bank_2
86974,bank_2
13273,bank_2
39988,bank_2
50977,bank_2
38997,bank_2
62382,bank_2
75967,bank_2
46517,bank_4
36375,bank_4
73917,bank_4
38757,bank_3
25412,bank_3
73308,bank_4
87928,bank_4
1227,bank_4
52079,bank_4
40792,bank_4
71712,bank_4
36683,bank_4
28525,bank_3
27897,bank_4
57216,bank_4
18271,bank_4
46084,bank_4
25955,bank_4
56894,bank_4
72397,bank_4
80932,bank_4
68239,bank_4
