tran_id,tx_type
38594,TRANSFER
32743,TRANSFER
1356,TRANSFER
3,TRANSFER
13059,TRANSFER
25327,TRANSFER
38672,TRANSFER
50595,TRANSFER
62360,TRANSFER
74863,TRANSFER
88541,TRANSFER
65134,TRANSFER
45473,TRANSFER
2789,TRANSFER
37649,TRANSFER
63381,TRANSFER
19190,TRANSFER
39905,TRANSFER
52716,TRANSFER
59268,TRANSFER
64311,TRANSFER
15689,TRANSFER
40406,TRANSFER
2902,TRANSFER
28080,TRANSFER
77836,TRANSFER
52649,TRANSFER
26833,TRANSFER
69825,TRANSFER
71689,TRANSFER
10938,TRANSFER
23437,TRANSFER
37403,TRANSFER
49066,TRANSFER
62229,TRANSFER
73997,TRANSFER
86114,TRANSFER
5,TRANSFER
12873,TRANSFER
25313,TRANSFER
38397,TRANSFER
50710,TRANSFER
62883,TRANSFER
75427,TRANSFER
87437,TRANSFER
75605,TRANSFER
21708,TRANSFER
54762,TRANSFER
58990,TRANSFER
10884,TRANSFER
24396,TRANSFER
36635,TRANSFER
48941,TRANSFER
60878,TRANSFER
73978,TRANSFER
85969,TRANSFER
23488,TRANSFER
83488,TRANSFER
3460,TRANSFER
59987,TRANSFER
71986,TRANSFER
83762,TRANSFER
20566,TRANSFER
39644,TRANSFER
13733,TRANSFER
224,TRANSFER
87014,TRANSFER
2258,TRANSFER
50377,TRANSFER
15770,TRANSFER
38471,TRANSFER
75902,TRANSFER
25028,TRANSFER
62783,TRANSFER
43018,TRANSFER
5716,TRANSFER
67888,TRANSFER
56767,TRANSFER
80858,TRANSFER
19527,TRANSFER
30427,TRANSFER
58492,TRANSFER
45261,TRANSFER
7,TRANSFER
13422,TRANSFER
25501,TRANSFER
37949,TRANSFER
51133,TRANSFER
64051,TRANSFER
75174,TRANSFER
87122,TRANSFER
23069,TRANSFER
8,TRANSFER
14006,TRANSFER
26745,TRANSFER
38608,TRANSFER
51181,TRANSFER
63967,TRANSFER
75221,TRANSFER
88342,TRANSFER
27410,TRANSFER
43743,TRANSFER
43330,TRANSFER
26472,TRANSFER
469,TRANSFER
86974,TRANSFER
13273,TRANSFER
39988,TRANSFER
50977,TRANSFER
38997,TRANSFER
62382,TRANSFER
75967,TRANSFER
46517,TRANSFER
36375,TRANSFER
73917,TRANSFER
38757,TRANSFER
25412,TRANSFER
73308,TRANSFER
87928,TRANSFER
1227,TRANSFER
52079,TRANSFER
40792,TRANSFER
71712,TRANSFER
36683,TRANSFER
28525,TRANSFER
27897,TRANSFER
57216,TRANSFER
18271,TRANSFER
46084,TRANSFER
25955,TRANSFER
56894,TRANSFER
72397,TRANSFER
80932,TRANSFER
68239,TRANSFER
11485,TRANSFER
27523,TRANSFER
48504,TRANSFER
61417,TRANSFER
7569,TRANSFER
19694,TRANSFER
32846,TRANSFER
45497,TRANSFER
57857,TRANSFER
69870,TRANSFER
73389,TRANSFER
82349,TRANSFER
23649,TRANSFER
23715,TRANSFER
86000,TRANSFER
86154,TRANSFER
35979,TRANSFER
60184,TRANSFER
46345,TRANSFER
47071,TRANSFER
1737,TRANSFER
28420,TRANSFER
14598,TRANSFER
14663,TRANSFER
40497,TRANSFER
81286,TRANSFER
35951,TRANSFER
44440,TRANSFER
75568,TRANSFER
12640,TRANSFER
15112,TRANSFER
34305,TRANSFER
76946,TRANSFER
32779,TRANSFER
45956,TRANSFER
79336,TRANSFER
58058,TRANSFER
8586,TRANSFER
70841,TRANSFER
81870,TRANSFER
20493,TRANSFER
15,TRANSFER
13842,TRANSFER
26339,TRANSFER
37969,TRANSFER
51383,TRANSFER
63750,TRANSFER
75736,TRANSFER
87243,TRANSFER
3048,TRANSFER
5015,TRANSFER
16267,TRANSFER
28660,TRANSFER
41872,TRANSFER
54654,TRANSFER
66264,TRANSFER
79303,TRANSFER
22032,TRANSFER
11894,TRANSFER
23543,TRANSFER
36647,TRANSFER
48884,TRANSFER
61404,TRANSFER
73359,TRANSFER
85632,TRANSFER
12338,TRANSFER
36386,TRANSFER
24831,TRANSFER
16,TRANSFER
50416,TRANSFER
347,TRANSFER
13865,TRANSFER
25280,TRANSFER
37489,TRANSFER
50793,TRANSFER
62497,TRANSFER
75731,TRANSFER
87841,TRANSFER
3369,TRANSFER
84036,TRANSFER
15788,TRANSFER
77997,TRANSFER
27070,TRANSFER
72086,TRANSFER
69333,TRANSFER
34095,TRANSFER
38175,TRANSFER
55235,TRANSFER
17158,TRANSFER
55459,TRANSFER
5833,TRANSFER
18056,TRANSFER
30521,TRANSFER
43143,TRANSFER
56177,TRANSFER
68357,TRANSFER
80545,TRANSFER
47000,TRANSFER
14865,TRANSFER
38096,TRANSFER
62387,TRANSFER
991,TRANSFER
75457,TRANSFER
4139,TRANSFER
122,TRANSFER
37844,TRANSFER
67052,TRANSFER
41265,TRANSFER
80096,TRANSFER
30434,TRANSFER
5722,TRANSFER
43751,TRANSFER
18086,TRANSFER
43832,TRANSFER
58258,TRANSFER
35326,TRANSFER
