tran_id,orig_acct
1,1618
13135,1618
13546,1618
26058,1618
39106,1618
50254,1618
62602,1618
75512,1618
87404,1618
87454,1618
348,1350
71583,1350
74702,1350
993,148
25897,148
38708,1128
51698,1925
63571,1952
2,93
62662,93
10419,1111
21571,1111
34264,1111
47200,1111
59448,1111
71771,1111
84034,1111
13547,93
74726,93
25023,93
87041,93
38594,93
50926,93
54572,1476
3,867
13059,867
25327,867
38672,867
50595,867
62360,867
74863,867
88541,867
685,1918
13800,1918
26542,1918
38271,1918
50217,1918
63424,1918
75549,1918
87646,1918
65134,1509
18347,1290
20844,1029
32534,1076
8889,592
2604,1066
14832,1066
28233,1066
40781,1066
52330,1066
64750,1066
77879,1066
63381,1395
26033,399
18076,1392
42800,228
32239,1460
15689,1809
28080,1890
10884,1199
24396,1199
36635,1199
48941,1199
60878,1199
73978,1199
85969,1199
46443,1942
9362,104
35711,104
72408,104
32328,438
15956,1574
8953,1854
22531,1854
34414,1854
47627,1854
59567,1854
71258,1854
83511,1854
54493,1442
12568,181
34046,181
26665,191
62955,191
61831,1361
10,1347
76304,1347
12824,1347
87883,1347
25983,395
88711,395
25506,1347
61590,296
27072,1436
58674,101
34349,280
39112,1347
20587,1205
59474,192
49859,1347
63620,1347
356,1421
75252,1421
27345,1550
3258,1473
78069,1473
4645,1389
78774,1389
30447,1596
57340,356
21851,1232
85090,1232
59587,1588
11,1802
63151,1802
25440,1098
88571,1098
13512,1134
75341,1134
51555,1026
38709,603
43550,1988
18433,1223
30414,1223
23649,380
23715,380
86000,380
35979,681
12,1355
34486,1355
75229,1355
2222,222
21542,222
64689,222
2869,1355
39218,1355
13322,1355
88487,1355
47603,1596
52109,813
24295,1355
26115,1355
48183,174
62860,174
60931,1374
10933,750
85642,750
35951,1961
74339,1869
31706,1355
50907,1355
18919,123
37632,123
6258,1596
29780,1596
80682,1596
44440,964
68151,1252
55243,453
63248,1355
15006,246
25147,246
77402,246
38190,276
54705,276
890,295
37651,295
74920,295
34547,387
72543,387
26402,303
54946,303
38775,328
46233,328
3693,880
16833,880
29869,880
37540,880
42523,880
53450,880
65823,880
79139,880
87854,880
17,273
63506,273
51612,329
72249,1526
54326,352
37238,200
11670,1600
24124,1600
36849,1600
48266,1600
60978,1600
74173,1600
86373,1600
12570,273
74803,273
713,1485
75492,1485
53409,1445
64372,1231
66363,1511
41088,1304
25911,273
88425,273
26052,75
87007,75
56568,1439
38096,273
991,1443
75457,1443
50353,273
15850,1431
1978,232
64691,232
27998,1331
16008,1459
16513,297
78905,297
4461,1684
17432,1684
29416,1684
42510,1684
55092,1684
66218,1684
79510,1684
9351,374
72717,374
22123,241
84386,241
18,1526
33394,1044
18599,264
79976,264
3302,1208
77160,1208
27745,1241
25146,1488
41383,1551
48696,380
23882,218
85346,218
57248,26
10682,1257
84284,1257
88026,1526
33577,1394
11635,360
19,680
51512,680
4683,680
79557,680
54435,1957
41623,1585
29495,898
17014,1192
8794,849
20590,849
33337,849
46010,849
57346,849
67152,849
71122,849
82018,849
6291,680
21661,1572
29101,294
4523,1302
78493,1302
3560,1796
17067,1796
28686,1796
42219,1796
55150,1796
65764,1796
78937,1796
28757,297
7185,77
69888,77
8135,173
70268,173
4094,1254
78829,1254
58906,116
70910,1367
27551,1199
52801,1943
2405,329
58817,329
64305,329
39873,1504
14637,759
78014,759
12416,1654
74488,1654
57393,147
3268,172
50837,172
43926,491
1826,1338
41077,1338
13120,1717
57074,197
27179,182
37798,255
4898,186
42125,186
