tran_id,tran_timestamp
1,2017-01-01 16:43:17
13135,2017-01-08 04:50:18
13546,2017-01-08 16:55:46
26058,2017-01-15 22:10:11
39106,2017-01-22 18:48:03
50254,2017-01-29 18:36:14
62602,2017-02-05 14:50:52
75512,2017-02-12 15:22:23
87404,2017-02-19 01:42:39
87454,2017-02-19 04:35:19
348,2017-01-01 15:20:27
71583,2017-02-10 17:17:55
74702,2017-02-12 03:43:31
993,2017-01-01 10:10:10
25897,2017-01-15 23:00:51
38708,2017-01-22 14:48:46
51698,2017-01-29 18:07:47
63571,2017-02-05 11:22:48
2,2017-01-01 01:53:50
62662,2017-02-05 10:06:03
10419,2017-01-06 17:00:00
21571,2017-01-13 21:23:28
34264,2017-01-20 06:13:43
47200,2017-01-27 09:26:29
59448,2017-02-03 21:53:21
71771,2017-02-10 14:59:00
84034,2017-02-17 08:19:34
13547,2017-01-08 23:19:00
74726,2017-02-12 02:27:02
25023,2017-01-15 05:28:22
87041,2017-02-19 01:08:09
38594,2017-01-22 08:24:27
50926,2017-01-29 09:26:03
54572,2017-01-31 18:56:02
3,2017-01-01 18:59:40
13059,2017-01-08 11:29:24
25327,2017-01-15 03:30:22
38672,2017-01-22 00:12:16
50595,2017-01-29 20:28:05
62360,2017-02-05 11:17:51
74863,2017-02-12 01:15:39
88541,2017-02-19 03:51:10
685,2017-01-01 16:07:46
13800,2017-01-08 10:30:57
26542,2017-01-15 14:45:53
38271,2017-01-22 20:53:53
50217,2017-01-29 11:59:49
63424,2017-02-05 15:57:51
75549,2017-02-12 23:52:53
87646,2017-02-19 15:00:41
65134,2017-02-06 09:31:39
18347,2017-01-11 23:19:46
20844,2017-01-12 06:44:11
32534,2017-01-19 18:40:28
8889,2017-01-05 08:29:19
2604,2017-01-02 14:38:30
14832,2017-01-09 23:27:11
28233,2017-01-16 15:03:08
40781,2017-01-23 13:56:21
52330,2017-01-30 00:07:15
64750,2017-02-06 09:15:34
77879,2017-02-13 20:27:12
63381,2017-02-05 11:14:39
26033,2017-01-15 20:09:05
18076,2017-01-11 14:28:15
42800,2017-01-25 15:24:48
32239,2017-01-19 10:17:29
15689,2017-01-09 03:31:53
28080,2017-01-16 15:35:02
10884,2017-01-07 23:30:05
24396,2017-01-14 19:54:11
36635,2017-01-21 18:57:39
48941,2017-01-28 16:33:17
60878,2017-02-04 09:45:47
73978,2017-02-11 07:07:35
85969,2017-02-18 01:41:07
46443,2017-01-27 03:27:03
9362,2017-01-06 05:18:27
35711,2017-01-20 22:52:48
72408,2017-02-10 14:54:38
32328,2017-01-19 16:30:02
15956,2017-01-09 02:20:18
8953,2017-01-06 23:51:02
22531,2017-01-13 00:11:47
34414,2017-01-20 00:53:15
47627,2017-01-27 00:49:33
59567,2017-02-03 23:23:02
71258,2017-02-10 09:39:58
83511,2017-02-17 15:14:51
54493,2017-01-31 02:14:13
12568,2017-01-08 04:18:26
34046,2017-01-20 13:12:18
26665,2017-01-15 14:35:49
62955,2017-02-05 23:23:06
61831,2017-02-04 01:19:37
10,2017-01-01 16:21:13
76304,2017-02-12 20:09:51
12824,2017-01-08 20:40:18
87883,2017-02-19 06:45:57
25983,2017-01-15 03:16:43
88711,2017-02-19 23:16:16
25506,2017-01-15 00:43:01
61590,2017-02-04 16:29:23
27072,2017-01-16 02:41:30
58674,2017-02-02 18:06:14
34349,2017-01-20 09:26:28
39112,2017-01-22 14:23:20
20587,2017-01-12 17:38:52
59474,2017-02-03 17:12:04
49859,2017-01-29 06:10:31
63620,2017-02-05 20:26:18
356,2017-01-01 01:07:35
75252,2017-02-12 05:05:26
27345,2017-01-16 09:35:16
3258,2017-01-02 00:13:22
78069,2017-02-13 18:29:16
4645,2017-01-03 10:29:08
78774,2017-02-14 11:28:53
30447,2017-01-18 20:00:10
57340,2017-02-02 19:21:33
21851,2017-01-13 16:29:07
85090,2017-02-17 23:45:12
59587,2017-02-03 18:25:12
11,2017-01-01 09:38:09
