tran_id,orig_branch_id
1,1
13135,1
13546,1
26058,1
39106,1
50254,1
62602,1
75512,1
87404,1
87454,1
348,1
71583,1
74702,1
993,1
25897,1
38708,1
51698,1
63571,1
2,1
62662,1
10419,1
21571,1
34264,1
47200,1
59448,1
71771,1
84034,1
13547,1
74726,1
25023,1
87041,1
38594,1
50926,1
54572,1
3,1
13059,1
25327,1
38672,1
50595,1
62360,1
74863,1
88541,1
685,1
13800,1
26542,1
38271,1
50217,1
63424,1
75549,1
87646,1
65134,1
18347,1
20844,1
32534,1
8889,1
2604,1
14832,1
28233,1
40781,1
52330,1
64750,1
77879,1
63381,1
26033,1
18076,1
42800,1
32239,1
15689,1
28080,1
10884,1
24396,1
36635,1
48941,1
60878,1
73978,1
85969,1
46443,1
9362,1
35711,1
72408,1
32328,1
15956,1
8953,1
22531,1
34414,1
47627,1
59567,1
71258,1
83511,1
54493,1
12568,1
34046,1
26665,1
62955,1
61831,1
10,1
76304,1
12824,1
87883,1
25983,1
88711,1
25506,1
61590,1
27072,1
58674,1
34349,1
39112,1
20587,1
59474,1
49859,1
63620,1
356,1
75252,1
27345,1
3258,1
78069,1
4645,1
78774,1
30447,1
57340,1
21851,1
85090,1
59587,1
11,1
63151,1
25440,1
88571,1
13512,1
75341,1
51555,1
38709,1
43550,1
18433,1
30414,1
23649,1
23715,1
86000,1
35979,1
12,1
34486,1
75229,1
2222,1
21542,1
64689,1
2869,1
39218,1
13322,1
88487,1
47603,1
52109,1
24295,1
26115,1
48183,1
62860,1
60931,1
10933,1
85642,1
35951,1
74339,1
31706,1
50907,1
18919,1
37632,1
6258,1
29780,1
80682,1
44440,1
68151,1
55243,1
63248,1
15006,1
25147,1
77402,1
38190,1
54705,1
890,1
37651,1
74920,1
34547,1
72543,1
26402,1
54946,1
38775,1
46233,1
3693,1
16833,1
29869,1
37540,1
42523,1
53450,1
65823,1
79139,1
87854,1
17,1
63506,1
51612,1
72249,1
54326,1
37238,1
11670,1
24124,1
36849,1
48266,1
60978,1
74173,1
86373,1
12570,1
74803,1
713,1
75492,1
53409,1
64372,1
66363,1
41088,1
25911,1
88425,1
26052,1
87007,1
56568,1
38096,1
991,1
75457,1
50353,1
15850,1
1978,1
64691,1
27998,1
16008,1
16513,1
78905,1
4461,1
17432,1
29416,1
42510,1
55092,1
66218,1
79510,1
9351,1
72717,1
22123,1
84386,1
18,1
33394,1
18599,1
79976,1
3302,1
77160,1
27745,1
25146,1
41383,1
48696,1
23882,1
85346,1
57248,1
10682,1
84284,1
88026,1
33577,1
11635,1
19,1
51512,1
4683,1
79557,1
54435,1
41623,1
29495,1
17014,1
8794,1
20590,1
33337,1
46010,1
57346,1
67152,1
71122,1
82018,1
6291,1
21661,1
29101,1
4523,1
78493,1
3560,1
17067,1
28686,1
42219,1
55150,1
65764,1
78937,1
28757,1
7185,1
69888,1
8135,1
70268,1
4094,1
78829,1
58906,1
70910,1
27551,1
52801,1
2405,1
58817,1
64305,1
39873,1
14637,1
78014,1
12416,1
74488,1
57393,1
3268,1
50837,1
43926,1
1826,1
41077,1
13120,1
57074,1
27179,1
37798,1
4898,1
42125,1
79470,1
9379,1
30216,1
8642,1
21006,1
33615,1
45447,1
57205,1
69700,1
83142,1
71824,1
88070,1
25203,1
2609,1
15071,1
27272,1
40428,1
51953,1
64784,1
76601,1
25,1
13280,1
25726,1
37702,1
51444,1
63535,1
74864,1
88521,1
14234,1
62864,1
60453,1
102,1
12750,1
26575,1
38811,1
47967,1
50355,1
62709,1
76463,1
87103,1
35338,1
26,1
75065,1
56795,1
6834,1
18800,1
30868,1
43839,1
56052,1
67746,1
81089,1
8746,1
21359,1
32543,1
46240,1
58243,1
70067,1
83290,1
36188,1
13659,1
88714,1
7806,1
20579,1
33722,1
44586,1
56978,1
70640,1
83318,1
26403,1
56889,1
46405,1
39191,1
1626,1
14147,1
25621,1
38564,1
50030,1
63440,1
76028,1
87242,1
3501,1
14665,1
27845,1
39760,1
53279,1
65175,1
76701,1
43534,1
51659,1
63929,1
1277,1
63361,1
7903,1
82945,1
13625,1
26207,1
88290,1
1470,1
63562,1
16975,1
78756,1
19265,1
80250,1
48649,1
60398,1
34961,1
51012,1
62951,1
27746,1
47047,1
34270,1
59942,1
23245,1
7320,1
19910,1
32288,1
44641,1
58461,1
70785,1
72241,1
83229,1
10615,1
83805,1
35442,1
56051,1
315,1
12515,1
25906,1
30694,1
38823,1
50949,1
63165,1
76424,1
87608,1
6169,1
9975,1
19474,1
22957,1
34512,1
46410,1
60305,1
72858,1
83997,1
12891,1
75277,1
9886,1
21503,1
35040,1
48014,1
58964,1
72592,1
83822,1
34800,1
39274,1
390,1
87831,1
497,1
13627,1
26773,1
38546,1
49886,1
62929,1
74828,1
88182,1
51305,1
21777,1
18753,1
1371,1
87991,1
4410,1
13318,1
78461,1
58618,1
34541,1
12596,1
88075,1
14081,1
87001,1
2290,1
77715,1
3722,1
78973,1
16320,1
78661,1
17980,1
6693,1
19204,1
31289,1
43122,1
55843,1
68919,1
80048,1
6909,1
80302,1
19845,1
69455,1
24785,1
26576,1
26594,1
13443,1
26998,1
3256,1
77688,1
4430,1
66319,1
30242,1
17315,1
6904,1
81252,1
22077,1
39,1
25521,1
63917,1
37608,1
50178,1
13473,1
76430,1
26634,1
88051,1
357,1
63516,1
21042,1
27324,1
33582,1
54925,1
50839,1
26194,1
88156,1
52815,1
2492,1
77954,1
5569,1
19375,1
30823,1
43408,1
56732,1
68833,1
80645,1
57648,1
34399,1
40,1
62792,1
14073,1
75661,1
25653,1
87634,1
37579,1
51046,1
41,1
4044,1
17719,1
28732,1
41441,1
54518,1
66537,1
78729,1
42,1
62811,1
26719,1
87736,1
37782,1
13972,1
75312,1
49985,1
43,1
12629,1
75042,1
5439,1
19316,1
25312,1
30697,1
43290,1
55658,1
68367,1
79919,1
13224,1
45030,1
1344,1
63957,1
26562,1
87493,1
1248,1
13830,1
26664,1
38467,1
50025,1
63437,1
75250,1
87186,1
39354,1
33947,1
39104,1
51214,1
44,1
75671,1
39207,1
15561,1
76863,1
5465,1
81152,1
48827,1
71708,1
13613,1
87808,1
21867,1
38235,1
25479,1
51051,1
12951,1
51238,1
25606,1
62959,1
45,1
14150,1
24988,1
38701,1
50545,1
63514,1
75169,1
88654,1
1206,1
12904,1
25262,1
38125,1
50046,1
62678,1
75157,1
88777,1
77485,1
50012,1
44144,1
51806,1
56400,1
19271,1
81585,1
7094,1
68548,1
80062,1
31047,1
47169,1
60190,1
65233,1
22938,1
9419,1
44242,1
84766,1
5999,1
17998,1
30918,1
43275,1
56172,1
69136,1
72335,1
80635,1
35319,1
51527,1
49,1
13558,1
26777,1
38388,1
51548,1
64055,1
75538,1
87614,1
2667,1
15182,1
27877,1
40469,1
51828,1
65389,1
77472,1
81083,1
7753,1
20242,1
33463,1
45725,1
57023,1
70093,1
81688,1
12604,1
74643,1
51246,1
5072,1
66885,1
16825,1
79864,1
57360,1
10089,1
71590,1
61770,1
51,1
13560,1
26779,1
38390,1
51550,1
64057,1
75540,1
87616,1
6797,1
4521,1
67661,1
2416,1
6353,1
80684,1
56771,1
31158,1
42956,1
18760,1
58199,1
26729,1
14214,1
38954,1
52955,1
29556,1
5918,1
80770,1
18573,1
20469,1
9847,1
72078,1
61311,1
45601,1
11760,1
73139,1
7398,1
6106,1
33664,1
3616,1
65994,1
56211,1
7065,1
67710,1
65243,1
29944,1
29257,1
66521,1
29878,1
7468,1
83117,1
20162,1
58444,1
44956,1
47854,1
47156,1
23366,1
36745,1
18763,1
43160,1
81069,1
4132,1
78178,1
4265,1
3901,1
22708,1
29770,1
4318,1
25568,1
17333,1
60947,1
63526,1
744,1
75265,1
13258,1
88144,1
38556,1
50372,1
25148,1
17517,1
20707,1
82892,1
14433,1
77674,1
4540,1
78786,1
56774,1
36555,1
2812,1
64102,1
26137,1
1366,1
75072,1
1962,1
65707,1
54927,1
37538,1
20000,1
5898,1
54566,1
62262,1
12923,1
75489,1
25534,1
70510,1
7702,1
9146,1
59759,1
11993,1
74139,1
37377,1
67,1
33111,1
53988,1
67866,1
65176,1
68702,1
11113,1
80444,1
19675,1
23051,1
43473,1
11469,1
23773,1
37332,1
49608,1
61420,1
73330,1
86400,1
29010,1
5653,1
18275,1
31813,1
43174,1
56075,1
69110,1
81148,1
55461,1
6337,1
18516,1
30673,1
43727,1
56532,1
68617,1
80332,1
26433,1
13854,1
30531,1
26457,1
75631,1
13334,1
63307,1
68,1
13902,1
25953,1
38436,1
50510,1
62310,1
75224,1
87624,1
125,1
13304,1
25880,1
37571,1
51463,1
63968,1
75753,1
87378,1
54049,1
9291,1
83586,1
25053,1
25218,1
87937,1
53043,1
40461,1
2758,1
77902,1
2777,1
64197,1
4056,1
67406,1
16019,1
78412,1
68561,1
68551,1
44993,1
71862,1
59819,1
7056,1
15655,1
14646,1
62128,1
48264,1
48175,1
73518,1
13968,1
66573,1
74944,1
64637,1
38108,1
1808,1
75862,1
13973,1
74934,1
8974,1
22875,1
33930,1
47312,1
59936,1
72038,1
83765,1
19930,1
82522,1
59042,1
73794,1
38605,1
50808,1
82024,1
62877,1
1242,1
14271,1
26322,1
38538,1
50799,1
62695,1
75732,1
87692,1
26595,1
88207,1
68910,1
2032,1
14436,1
26875,1
40388,1
52415,1
60911,1
64444,1
77164,1
2402,1
49667,1
78096,1
36157,1
12859,1
75264,1
67514,1
7913,1
12346,1
23469,1
36500,1
48669,1
61457,1
74593,1
86672,1
37094,1
15925,1
1623,1
88231,1
40686,1
2433,1
29064,1
77266,1
26956,1
52924,1
64834,1
15008,1
69493,1
52884,1
56030,1
11739,1
60757,1
65227,1
22753,1
34239,1
10272,1
59877,1
14856,1
27514,1
75301,1
88017,1
32255,1
15285,1
77747,1
8760,1
20464,1
33085,1
46063,1
57843,1
70843,1
82589,1
10417,1
72723,1
59124,1
9917,1
22867,1
34513,1
46685,1
58864,1
71693,1
84781,1
46252,1
22536,1
11444,1
24342,1
