tran_id,bene_bank_id
1,bank_1
13135,bank_1
13546,bank_1
26058,bank_1
39106,bank_1
50254,bank_1
62602,bank_1
75512,bank_1
87404,bank_1
87454,bank_1
348,bank_1
71583,bank_1
74702,bank_1
993,bank_1
25897,bank_1
38708,bank_1
51698,bank_1
63571,bank_1
2,bank_1
62662,bank_1
10419,bank_1
21571,bank_1
34264,bank_1
47200,bank_1
59448,bank_1
71771,bank_1
84034,bank_1
13547,bank_4
74726,bank_4
25023,bank_3
87041,bank_3
38594,bank_2
50926,bank_3
54572,bank_3
3,bank_1
13059,bank_1
25327,bank_1
38672,bank_1
50595,bank_1
62360,bank_1
74863,bank_1
88541,bank_1
685,bank_1
13800,bank_1
26542,bank_1
38271,bank_1
50217,bank_1
63424,bank_1
75549,bank_1
87646,bank_1
65134,bank_1
18347,bank_1
20844,bank_4
32534,bank_4
8889,bank_4
2604,bank_0
14832,bank_0
28233,bank_0
40781,bank_0
52330,bank_0
64750,bank_0
77879,bank_0
63381,bank_2
26033,bank_4
18076,bank_4
42800,bank_4
32239,bank_4
15689,bank_2
28080,bank_2
10884,bank_2
24396,bank_2
36635,bank_2
48941,bank_2
60878,bank_2
73978,bank_2
85969,bank_2
46443,bank_4
9362,bank_4
35711,bank_4
72408,bank_4
32328,bank_3
15956,bank_3
8953,bank_3
22531,bank_3
34414,bank_3
47627,bank_3
59567,bank_3
71258,bank_3
83511,bank_3
54493,bank_4
12568,bank_3
34046,bank_3
26665,bank_1
62955,bank_1
61831,bank_1
10,bank_4
76304,bank_4
12824,bank_4
87883,bank_4
25983,bank_4
88711,bank_4
25506,bank_4
61590,bank_4
27072,bank_4
58674,bank_4
34349,bank_4
39112,bank_4
20587,bank_4
59474,bank_4
49859,bank_3
63620,bank_4
356,bank_4
75252,bank_4
27345,bank_4
3258,bank_4
78069,bank_4
4645,bank_4
78774,bank_4
30447,bank_4
57340,bank_4
21851,bank_4
85090,bank_4
59587,bank_4
11,bank_1
63151,bank_1
25440,bank_1
88571,bank_1
13512,bank_1
75341,bank_1
51555,bank_1
38709,bank_1
43550,bank_4
18433,bank_4
30414,bank_4
23649,bank_2
23715,bank_2
86000,bank_2
35979,bank_2
12,bank_4
34486,bank_4
75229,bank_4
2222,bank_4
21542,bank_4
64689,bank_4
2869,bank_4
39218,bank_4
