tran_id,base_amt
993,414.36
25897,991.36
38708,659.6
51698,288.73
63571,968.46
13547,502.59
74726,454.33
75849,521.89
40439,509.27
52234,899.5
69179,115.81
5837,840.5
56554,112.76
32384,148.41
32743,798.59
685,200.5
13800,660.99
26542,487.67
38271,979.19
50217,556.91
63424,567.3
75549,990.16
87646,279.77
4,483.24
20844,794.29
77147,295.73
82843,700.61
32534,146.02
45473,442.61
70216,801.5
8581,335.28
8889,701.63
71170,651.35
58149,730.22
13019,129.36
77607,404.61
65027,127.44
48791,211.5
52581,623.2
26790,350.55
63670,155.31
37649,484.4
51092,602.11
25156,889.8
26033,774.54
4765,784.41
65781,598.9
18076,644.55
40130,144.51
39905,994.94
52716,699.71
67412,391.12
79552,569.37
5023,987.1
16275,427.46
28668,865.95
41880,116.69
54662,887.0
66272,200.01
79311,925.13
42800,683.9
32239,338.12
47151,784.14
9224,936.28
22153,159.77
34848,631.45
47457,709.0
59625,267.76
72373,709.18
83703,331.87
21848,398.01
35008,840.86
10617,515.22
22167,353.12
33942,529.06
48106,895.9
59901,154.97
72185,806.85
83571,566.74
62231,863.12
76592,561.95
6108,374.32
18576,917.67
30475,462.28
42873,127.15
55217,984.03
67903,598.29
80918,610.56
59268,458.11
86956,267.04
64311,194.32
77836,749.91
52649,567.14
75302,649.22
88117,524.33
13829,953.82
53589,143.95
78468,975.43
68983,966.07
69825,478.8
71689,180.77
10938,986.4
23437,199.73
37403,939.08
49066,155.74
62229,678.44
73997,453.22
86114,874.04
11114,788.57
58990,218.45
83488,165.26
3460,501.44
59987,257.28
16287,401.14
23076,653.77
78403,241.65
10278,578.51
41955,516.26
71986,795.8
83762,373.73
46443,584.71
9362,628.04
35711,403.5
72408,730.46
27661,901.08
2258,514.63
50377,807.14
15770,97.6
38471,858.89
75902,734.63
62783,716.83
67888,850.92
80858,399.02
83061,843.62
71822,225.92
84399,163.83
58884,222.41
47124,832.7
39988,128.83
50977,548.05
38997,586.79
62382,726.72
75967,829.24
23833,831.99
9,301.98
37709,907.07
75703,387.61
2833,644.15
3178,674.95
15581,911.6
27642,842.98
39727,611.22
52469,621.01
64296,266.52
76632,654.67
66490,238.88
54493,759.39
54451,194.33
67444,240.13
58688,474.89
46517,253.72
10605,725.23
22230,585.54
35097,670.08
46373,861.07
58856,911.67
71623,967.55
83884,223.71
36375,565.3
73917,434.07
85824,445.6
263,963.38
12628,597.35
25242,212.44
37935,790.59
50036,920.74
63066,578.58
76174,191.44
87542,425.85
88529,512.15
76326,276.86
62337,920.98
10,426.51
76304,324.27
1827,255.2
13794,684.24
26604,631.66
38191,595.4
50311,863.0
63171,383.69
75338,229.77
87794,298.0
12824,605.19
87883,970.68
13677,931.73
62843,182.11
25983,320.83
88711,595.58
6308,959.84
19015,994.46
30781,893.63
44225,662.05
56442,828.81
67765,903.78
80738,845.07
45238,420.39
84047,596.03
73308,352.6
25506,977.96
88378,615.8
61590,543.62
87928,975.34
1227,884.55
74910,786.32
52079,763.56
40792,592.18
40411,230.4
27072,637.84
71712,609.73
5285,462.59
17760,970.67
28915,987.92
42264,210.09
53604,584.82
66879,189.29
79216,905.34
5542,260.9
30536,277.36
56655,774.43
80081,570.11
55633,531.02
44972,961.02
58674,262.09
19989,428.82
34349,876.83
61444,332.69
12051,820.66
36542,309.92
86559,752.92
39112,728.94
20587,193.65
59474,402.36
36683,554.53
65452,209.43
63620,312.16
356,695.02
75252,138.58
790,461.05
38232,857.98
75494,626.63
945,145.63
1331,815.19
13684,482.35
25816,305.31
38465,670.87
51154,330.28
64088,558.08
74794,650.25
87292,553.96
62513,325.64
76325,347.52
27897,313.27
2064,232.2
14686,115.0
28434,171.75
39608,217.73
52344,828.42
65566,282.52
77861,690.43
27345,256.56
3258,614.59
78069,472.35
4127,149.82
17259,521.53
29523,523.24
42204,246.72
53592,119.3
67251,997.61
78347,246.61
41898,350.33
4645,299.86
78774,271.28
57216,371.43
18271,105.36
31681,892.17
30447,930.29
46084,696.7
57340,796.11
32817,924.73
21851,767.33
85090,351.92
59587,223.01
11502,826.49
51555,351.74
38709,501.16
6794,287.56
6957,416.85
18584,862.96
30356,545.33
43019,627.78
55834,913.37
69020,603.77
80971,473.74
25955,723.36
56894,895.14
25671,774.55
43550,806.17
18433,728.72
30414,418.8
6716,543.91
17973,310.74
18020,308.22
31279,878.28
44131,542.92
55664,589.17
69010,955.45
80075,718.43
72397,412.26
80932,122.09
68239,628.88
27523,844.18
48504,252.34
61417,646.11
7569,801.86
19694,637.21
32846,418.64
45497,677.15
57857,123.34
69870,855.88
73389,620.89
82349,584.31
86154,196.94
12,316.79
34486,817.21
75229,964.81
2222,228.15
21542,434.78
64689,324.71
84877,425.34
60184,226.12
46345,126.36
47071,297.66
9128,610.72
72041,269.03
2869,239.85
39218,215.0
1737,195.08
28420,266.92
14598,176.86
14663,251.12
3434,790.85
14351,898.05
26858,261.31
40802,548.62
52787,850.1
64802,860.49
77554,265.67
77669,824.56
40497,949.19
81286,821.13
53071,533.1
9987,191.86
21540,599.24
34896,156.55
47395,204.76
59392,192.01
72804,471.43
85072,425.76
10232,664.1
23138,815.46
34431,287.04
46948,301.96
59014,640.18
65597,488.01
71273,751.23
84241,566.39
47603,751.56
60931,839.03
74339,397.52
68151,739.09
63248,689.97
75568,1005.96
16627,925.93
54194,283.76
11977,874.09
24808,244.93
35804,607.29
48484,112.41
61064,731.6
74378,282.72
85563,492.05
63752,449.9
8369,927.3
76484,377.26
51369,261.03
88677,901.65
25365,150.45
62573,755.97
50339,503.7
12640,394.76
24219,888.04
28228,236.95
39941,341.23
88270,332.49
75062,833.77
58058,771.27
70841,563.23
81870,119.05
5015,420.93
16267,805.87
28660,426.74
41872,145.15
54654,595.77
66264,610.31
79303,844.72
11894,225.82
23543,411.1
36647,100.43
48884,607.92
61404,631.21
73359,411.97
85632,734.36
85429,212.72
13937,824.96
64063,248.2
26513,781.91
75177,319.12
3369,440.67
84036,665.0
6951,341.34
19097,204.83
31577,707.84
43555,305.38
52423,400.52
55402,921.55
68859,208.1
81437,227.15
17,493.86
63506,627.22
51612,230.87
75408,524.95
1341,826.78
13018,137.21
25132,163.69
38529,220.56
51226,882.25
63696,849.02
74861,871.11
87753,363.33
72249,984.14
28939,358.82
54326,670.78
79168,426.33
30659,487.65
30573,954.11
7408,381.2
33012,627.04
57113,275.95
83379,177.25
69333,586.61
37238,924.66
34095,998.41
59283,210.94
11670,781.79
24124,559.38
36849,441.89
48266,492.34
60978,107.71
74173,578.79
86373,899.37
12570,490.26
74803,815.32
605,438.35
87321,460.13
713,964.06
75492,664.49
38175,148.26
77353,988.45
55235,372.1
53409,589.25
64372,168.26
39427,621.32
52940,868.47
28521,445.17
3905,760.88
17604,133.26
29151,245.16
42023,661.26
53636,335.14
67401,789.12
79855,851.32
17158,910.98
66363,548.39
41088,813.19
55459,529.94
5577,518.91
43559,931.12
81239,999.34
5833,521.49
18056,818.04
30521,990.21
43143,567.96
56177,178.07
68357,829.65
80545,824.13
55878,945.41
6207,797.95
55165,677.91
56631,304.25
56505,930.58
6724,483.44
18795,987.46
31257,966.35
43819,744.71
55890,380.47
67800,841.52
80878,489.16
44967,470.29
32537,529.9
70015,245.24
45276,745.67
8384,236.41
21060,431.39
33814,250.6
46168,801.1
