tran_id,bene_acct
993,780
25897,780
38708,780
51698,780
63571,780
13547,40
74726,40
75849,40
40439,40
52234,40
69179,40
5837,1796
56554,1796
32384,1796
32743,262
685,186
13800,186
26542,186
38271,186
50217,186
63424,186
75549,186
87646,186
4,575
20844,575
77147,575
82843,575
32534,575
45473,575
70216,575
8581,575
8889,575
71170,575
58149,575
13019,703
77607,703
65027,703
48791,703
52581,703
26790,1866
63670,1866
37649,1842
51092,1921
25156,1921
26033,1921
4765,1921
65781,1921
18076,1921
40130,1921
39905,1921
52716,1921
67412,1921
79552,1921
5023,1921
16275,1921
28668,1921
41880,1921
54662,1921
66272,1921
79311,1921
42800,1921
32239,1921
47151,1921
9224,1921
22153,1921
34848,1921
47457,1921
59625,1921
72373,1921
83703,1921
21848,1921
35008,1921
10617,1921
22167,1921
33942,1921
48106,1921
59901,1921
72185,1921
83571,1921
62231,223
76592,223
6108,223
18576,223
30475,223
42873,223
55217,223
67903,223
80918,223
59268,223
86956,223
64311,605
77836,605
52649,605
75302,1778
88117,1673
13829,1673
53589,1673
78468,1673
68983,1673
69825,1673
71689,1673
10938,1673
23437,1673
37403,1673
49066,1673
62229,1673
73997,1673
86114,1673
11114,1673
58990,1391
83488,504
3460,504
59987,504
16287,504
23076,504
78403,504
10278,504
41955,504
71986,504
83762,504
46443,504
9362,504
35711,504
72408,504
27661,648
2258,409
50377,409
15770,409
38471,409
75902,409
62783,409
67888,727
80858,727
83061,445
71822,492
84399,492
58884,492
47124,492
39988,460
50977,460
38997,460
62382,460
75967,460
23833,351
9,1804
37709,1804
75703,1804
2833,1804
3178,1804
15581,1804
27642,1804
39727,1804
52469,1804
64296,1804
76632,1804
66490,1804
54493,1804
54451,1804
67444,1804
58688,1804
46517,1804
10605,1804
22230,1804
35097,1804
46373,1804
58856,1804
71623,1804
83884,1804
36375,1804
73917,1804
85824,1804
263,461
12628,461
25242,461
37935,461
50036,461
63066,461
76174,461
87542,461
88529,461
76326,461
62337,461
10,388
76304,388
1827,388
13794,388
26604,388
38191,388
50311,388
63171,388
75338,388
87794,388
12824,1140
87883,1140
13677,1140
62843,1140
25983,1140
88711,1140
6308,1140
19015,1140
30781,1140
44225,1140
56442,1140
67765,1140
80738,1140
45238,1140
84047,1140
73308,1140
25506,1882
88378,1882
61590,1882
87928,1882
1227,1882
74910,1882
52079,1882
40792,1882
40411,1882
27072,1882
71712,1882
5285,1882
17760,1882
28915,1882
42264,1882
53604,1882
66879,1882
