tran_id,bene_bank_id
993,bank_1
25897,bank_1
38708,bank_1
51698,bank_1
63571,bank_1
13547,bank_4
74726,bank_4
75849,bank_4
40439,bank_4
52234,bank_4
69179,bank_4
5837,bank_3
56554,bank_3
32384,bank_3
32743,bank_2
685,bank_1
13800,bank_1
26542,bank_1
38271,bank_1
50217,bank_1
63424,bank_1
75549,bank_1
87646,bank_1
4,bank_4
20844,bank_4
77147,bank_4
82843,bank_4
32534,bank_4
45473,bank_4
70216,bank_4
8581,bank_4
8889,bank_4
71170,bank_4
58149,bank_4
13019,bank_3
77607,bank_3
65027,bank_3
48791,bank_3
52581,bank_3
26790,bank_0
63670,bank_0
37649,bank_2
51092,bank_4
25156,bank_4
26033,bank_4
4765,bank_4
65781,bank_4
18076,bank_4
40130,bank_4
39905,bank_4
52716,bank_4
67412,bank_4
79552,bank_4
5023,bank_4
16275,bank_4
28668,bank_4
41880,bank_4
54662,bank_4
66272,bank_4
79311,bank_4
42800,bank_4
32239,bank_4
47151,bank_4
9224,bank_4
22153,bank_4
34848,bank_4
47457,bank_4
59625,bank_4
72373,bank_4
83703,bank_4
21848,bank_4
35008,bank_4
10617,bank_4
22167,bank_4
33942,bank_4
48106,bank_4
59901,bank_4
72185,bank_4
83571,bank_4
62231,bank_4
76592,bank_4
6108,bank_4
18576,bank_4
30475,bank_4
42873,bank_4
55217,bank_4
67903,bank_4
80918,bank_4
59268,bank_4
86956,bank_4
64311,bank_2
77836,bank_2
52649,bank_2
75302,bank_0
88117,bank_4
13829,bank_4
53589,bank_4
78468,bank_4
68983,bank_4
69825,bank_4
71689,bank_4
10938,bank_4
23437,bank_4
37403,bank_4
49066,bank_4
62229,bank_4
73997,bank_4
86114,bank_4
11114,bank_4
58990,bank_2
83488,bank_4
3460,bank_4
59987,bank_4
16287,bank_4
23076,bank_4
78403,bank_4
10278,bank_4
41955,bank_4
71986,bank_4
83762,bank_4
46443,bank_4
9362,bank_4
35711,bank_4
72408,bank_4
27661,bank_3
2258,bank_2
50377,bank_2
15770,bank_2
38471,bank_2
75902,bank_2
62783,bank_2
67888,bank_2
80858,bank_2
83061,bank_3
71822,bank_3
84399,bank_3
58884,bank_3
47124,bank_3
39988,bank_2
50977,bank_2
38997,bank_2
62382,bank_2
75967,bank_2
23833,bank_3
9,bank_4
37709,bank_4
75703,bank_4
2833,bank_4
3178,bank_4
15581,bank_4
27642,bank_4
39727,bank_4
52469,bank_4
64296,bank_4
76632,bank_4
66490,bank_4
54493,bank_4
54451,bank_4
67444,bank_4
58688,bank_4
46517,bank_4
10605,bank_4
22230,bank_4
35097,bank_4
46373,bank_4
58856,bank_4
71623,bank_4
83884,bank_4
36375,bank_4
73917,bank_4
85824,bank_4
263,bank_3
12628,bank_3
25242,bank_3
37935,bank_3
50036,bank_3
63066,bank_3
76174,bank_3
87542,bank_3
88529,bank_3
76326,bank_3
62337,bank_3
10,bank_4
76304,bank_4
1827,bank_4
13794,bank_4
26604,bank_4
38191,bank_4
50311,bank_4
63171,bank_4
75338,bank_4
87794,bank_4
12824,bank_4
87883,bank_4
13677,bank_4
62843,bank_4
25983,bank_4
88711,bank_4
6308,bank_4
19015,bank_4
30781,bank_4
44225,bank_4
56442,bank_4
67765,bank_4
80738,bank_4
45238,bank_4
