tran_id,is_sar
40439,False
52234,False
69179,False
25023,False
87041,False
5837,False
56554,False
32384,False
50926,False
1356,False
26941,False
54572,False
36665,False
77147,False
82843,False
70216,False
58149,False
13019,False
77607,False
2789,False
65027,False
7920,False
39487,False
27095,False
48791,False
14484,False
52581,False
25156,False
67412,False
76592,False
6108,False
18576,False
30475,False
42873,False
55217,False
67903,False
80918,False
86956,False
13829,False
78468,False
68983,False
6,True
25600,False
33576,False
29769,True
7134,False
20566,False
39644,False
27661,False
14747,True
46089,False
37356,True
57801,False
7133,True
69549,False
21648,True
82002,False
1261,False
13807,False
26803,False
38949,False
51096,False
63133,False
76421,False
87785,False
13733,False
25028,False
43018,False
56767,False
70002,False
8190,False
25593,False
87179,False
58492,False
45261,False
20190,False
32328,False
83061,False
7,False
13422,False
25501,False
37949,False
51133,False
64051,False
75174,False
87122,False
15956,False
8570,False
21177,False
32125,False
45301,False
57342,False
70873,False
82034,False
23069,False
9470,False
71822,False
84399,False
35505,False
58884,False
47124,False
8,False
14006,False
26745,False
38608,False
51181,False
63967,False
75221,False
88342,False
43743,False
43330,False
26472,False
13273,False
72665,True
137,True
15758,True
43344,True
28938,True
8953,False
22531,False
34414,False
47627,False
59567,False
71258,False
83511,False
58036,True
23833,False
2833,False
67444,False
58688,False
615,False
14156,False
51280,False
88179,False
263,False
12628,False
25242,False
37935,False
50036,False
63066,False
76174,False
87542,False
88529,False
76326,False
12568,False
34046,False
38757,False
9527,False
50662,False
62337,False
25412,False
13677,False
62843,False
74910,False
55633,False
19989,False
12051,False
49859,False
34450,False
71564,False
65452,False
28525,False
83535,False
76325,False
41898,False
25440,False
88571,False
84877,False
72041,False
3434,False
14351,False
26858,False
40802,False
52787,False
64802,False
77554,False
77669,False
53071,False
10232,False
23138,False
34431,False
46948,False
59014,False
65597,False
71273,False
84241,False
48183,False
62860,False
55243,False
13,False
14060,False
50601,False
86966,False
15006,False
25147,False
77402,False
38190,False
54705,False
63752,False
8369,False
76484,False
51369,False
88677,False
12861,False
519,False
88270,False
13118,False
50335,False
50167,False
52604,False
26402,False
54946,False
30877,False
63125,False
75062,False
38775,False
46233,False
12338,False
36386,False
85429,False
24831,False
61812,False
23590,False
74262,False
48871,False
40315,False
75034,False
75408,False
1341,False
13018,False
25132,False
38529,False
51226,False
63696,False
74861,False
87753,False
30659,False
59283,False
87321,False
39427,False
52940,False
28521,False
56505,False
44967,False
58920,False
44861,False
34478,False
4139,False
87746,False
1094,False
25659,False
63656,False
52631,False
68832,False
82515,False
57349,False
46756,False
10395,False
22380,False
35351,False
47272,False
59032,False
72474,False
84491,False
49375,False
23652,False
49590,False
12557,False
63378,False
18599,False
79976,False
8929,False
20905,False
33498,False
46016,False
57760,False
70829,False
82216,False
11516,False
1641,False
11597,False
23838,False
86206,False
52032,False
14445,False
54824,False
