tran_id,orig_acct
40439,1305
52234,201
69179,301
25023,93
87041,93
5837,390
56554,350
32384,81
50926,93
1356,1529
26941,284
54572,1476
36665,1519
77147,1447
82843,1447
70216,1107
58149,636
13019,1308
77607,1308
2789,647
65027,893
7920,1579
39487,1579
27095,948
48791,1333
14484,615
52581,764
25156,1229
67412,1565
76592,331
6108,1937
18576,1937
30475,1937
42873,1937
55217,1937
67903,1937
80918,1937
86956,369
13829,1225
78468,110
68983,1493
6,1148
25600,91
33576,91
29769,947
7134,1881
20566,1229
39644,1229
27661,1207
14747,227
46089,227
37356,296
57801,296
7133,371
69549,371
21648,1821
82002,750
1261,1148
13807,1148
26803,1148
38949,1148
51096,1148
63133,1148
76421,1148
87785,1148
13733,1148
25028,1616
43018,1148
56767,1931
70002,1148
8190,1441
25593,1441
87179,1441
58492,1098
45261,1060
20190,1803
32328,438
83061,608
7,1819
13422,1819
25501,1819
37949,1819
51133,1819
64051,1819
75174,1819
87122,1819
15956,1574
8570,1778
21177,1778
32125,1778
45301,1778
57342,1778
70873,1778
82034,1778
23069,1819
9470,988
71822,1358
84399,1517
35505,529
58884,656
47124,588
8,1150
14006,1150
26745,1150
38608,1150
51181,1150
63967,1150
75221,1150
88342,1150
43743,74
43330,255
26472,1150
13273,1066
72665,1150
137,736
15758,1801
43344,1697
28938,1231
8953,1854
22531,1854
34414,1854
47627,1854
59567,1854
71258,1854
83511,1854
58036,1508
23833,131
2833,226
67444,1293
58688,1226
615,191
14156,191
51280,191
88179,191
263,1626
12628,1626
25242,1626
37935,1626
50036,1626
63066,1626
76174,1626
87542,1626
88529,1626
76326,1593
12568,181
34046,181
38757,1610
9527,1381
50662,1381
62337,739
25412,456
13677,1289
62843,1342
74910,187
55633,1463
19989,209
12051,1577
49859,1347
34450,262
71564,262
65452,243
28525,1544
83535,236
76325,1310
41898,260
25440,1098
88571,1098
84877,680
72041,549
3434,1895
14351,1895
26858,1895
40802,1895
52787,1895
64802,1895
77554,1895
77669,1895
53071,1170
10232,1877
23138,1877
34431,1877
46948,1877
59014,1877
65597,1877
71273,1877
84241,1877
48183,174
62860,174
55243,453
13,295
14060,295
50601,295
86966,295
15006,246
25147,246
77402,246
38190,276
54705,276
63752,1491
8369,1492
76484,1492
51369,1158
88677,1581
12861,461
519,1053
88270,1710
13118,1394
50335,1394
50167,131
52604,131
26402,303
54946,303
30877,1254
63125,1254
75062,1586
38775,328
46233,328
12338,874
36386,1932
85429,1757
24831,988
61812,1282
23590,1385
74262,1385
48871,664
40315,215
75034,215
75408,1358
1341,1709
13018,1709
25132,1709
38529,1709
51226,1709
63696,1709
74861,1709
87753,1709
30659,1364
59283,338
87321,1502
39427,0
52940,1228
28521,3
56505,1559
44967,1590
58920,208
44861,90
34478,138
4139,1436
87746,96
1094,314
25659,1581
63656,1310
52631,1537
68832,1412
82515,209
57349,83
46756,324
10395,1824
22380,1824
35351,1824
47272,1824
59032,1824
72474,1824
84491,1824
49375,129
23652,165
49590,1303
12557,1526
63378,171
18599,264
79976,264
8929,895
20905,895
33498,895
46016,895
57760,895
70829,895
82216,895
11516,23
1641,1442
