tran_id,bene_acct
40439,40
52234,40
69179,40
25023,1796
87041,1796
5837,1796
56554,1796
32384,1796
50926,1921
1356,1921
26941,1921
54572,1921
36665,1921
77147,575
82843,575
70216,575
58149,575
13019,703
77607,703
2789,703
65027,703
7920,703
39487,703
27095,703
48791,703
14484,703
52581,703
25156,1921
67412,1921
76592,223
6108,223
18576,223
30475,223
42873,223
55217,223
67903,223
80918,223
86956,223
13829,1673
78468,1673
68983,1673
6,648
25600,648
33576,648
29769,648
7134,648
20566,648
39644,648
27661,648
14747,648
46089,648
37356,648
57801,648
7133,648
69549,648
21648,648
82002,648
1261,1184
13807,1184
26803,1184
38949,1184
51096,1184
63133,1184
76421,1184
87785,1184
13733,409
25028,409
43018,727
56767,727
70002,445
8190,445
25593,445
87179,445
58492,445
45261,445
20190,445
32328,445
83061,445
7,1367
13422,1367
25501,1367
37949,1367
51133,1367
64051,1367
75174,1367
87122,1367
15956,1367
8570,1367
21177,1367
32125,1367
45301,1367
57342,1367
70873,1367
82034,1367
23069,492
9470,492
71822,492
84399,492
35505,492
58884,492
47124,492
8,1144
14006,1144
26745,1144
38608,1144
51181,1144
63967,1144
75221,1144
88342,1144
43743,1144
43330,1144
26472,460
13273,460
72665,351
137,351
15758,351
43344,351
28938,351
8953,351
22531,351
34414,351
47627,351
59567,351
71258,351
83511,351
58036,351
23833,351
2833,1804
67444,1804
58688,1804
615,461
14156,461
51280,461
88179,461
263,461
12628,461
25242,461
37935,461
50036,461
63066,461
76174,461
87542,461
88529,461
76326,461
12568,461
34046,461
38757,461
9527,461
50662,461
62337,461
25412,461
13677,1140
62843,1140
74910,1882
55633,1882
19989,1882
12051,1882
49859,1893
34450,1893
71564,1893
65452,1893
28525,1893
83535,1893
76325,1928
41898,1928
25440,558
88571,558
84877,684
72041,684
3434,607
14351,607
26858,607
40802,607
52787,607
64802,607
77554,607
77669,607
53071,607
10232,607
23138,607
34431,607
46948,607
59014,607
65597,607
71273,607
84241,607
48183,743
62860,743
55243,799
13,536
14060,536
50601,536
86966,536
15006,536
25147,536
77402,536
38190,536
54705,536
63752,536
8369,536
76484,536
51369,536
88677,536
12861,536
519,471
88270,471
13118,471
50335,471
50167,471
52604,471
26402,471
54946,471
30877,471
63125,471
75062,471
38775,471
46233,471
12338,674
36386,674
85429,674
24831,674
61812,674
23590,674
74262,674
48871,674
40315,711
75034,711
75408,1820
1341,1820
13018,1820
25132,1820
38529,1820
51226,1820
63696,1820
74861,1820
87753,1820
30659,1820
59283,1820
87321,1974
39427,1974
52940,1974
28521,1974
56505,1974
44967,1974
58920,1974
44861,1747
34478,1747
4139,1656
87746,1994
1094,1994
25659,1994
63656,1994
52631,1994
68832,1994
82515,1994
57349,1994
46756,1994
10395,1994
22380,1994
35351,1994
47272,1994
59032,1994
72474,1994
84491,1994
49375,1994
23652,1994
49590,1994
12557,1871
63378,1871
18599,1871
79976,1871
8929,1871
20905,1871
33498,1871
46016,1871
57760,1871
70829,1871
82216,1871
11516,1871
1641,1435
11597,668
23838,551
86206,551
52032,1938
14445,1938
54824,1938
47605,1938
65473,1620
47362,1327
87104,735
633,735
12877,735
25798,735
14023,735
79503,735
60657,735
75455,735
63185,735
37695,735
50479,735
74426,735
25293,661
76083,661
12989,661
62464,661
69133,674
56803,674
51762,155
5450,155
19504,155
31319,155
43377,155
55335,155
68708,155
80537,155
25883,1964
36984,1964
52250,1964
41979,1964
42364,1964
41089,1964
31000,1964
60462,1964
14091,1945
734,1945
65441,1945
4606,1945
16812,1945
28619,1945
41998,1945
54401,1945
65785,1945
79235,1945
80729,1945
47002,1945
47099,1945
23885,1945
11588,1945
24212,1945
36312,1945
49497,1945
61478,1945
73123,1945
85879,1945
37273,779
65039,448
40945,448
26877,448
52705,448
79942,694
76389,588
1826,588
41077,588
88324,588
13120,588
64083,588
10196,588
38133,588
26587,588
62189,588
51652,588
26055,1649
82433,1649
72342,1649
36029,1649
34891,731
21933,731
63128,135
106,135
13178,135
25582,135
38038,135
50562,135
62750,135
74770,135
88796,135
82432,135
76149,1668
13136,1668
78817,1668
71824,1668
25203,1771
2609,1771
15071,1771
27272,1771
40428,1771
51953,1771
64784,1771
76601,1771
25,954
13280,954
25726,954
37702,954
51444,954
63535,954
74864,954
88521,954
84354,724
49894,1942
42437,1942
17879,1942
22726,1942
50406,1987
75070,1987
25951,1987
88430,1987
53128,1987
15253,1987
68270,1987
8352,1987
20576,1987
63736,245
36255,1601
15614,819
30041,819
32,1039
13375,1039
25769,1039
37553,1039
51563,1039
63720,1039
75870,1039
87150,1039
40957,1039
63270,1458
74474,1458
20229,794
70507,794
7320,444
19910,444
32288,444
44641,444
58461,444
70785,444
72241,444
83229,444
80577,789
315,789
12515,789
25906,789
30694,789
38823,789
50949,789
63165,789
76424,789
87608,789
6169,789
9975,789
19474,789
22957,789
34512,789
46410,789
60305,789
72858,789
