tran_id,orig_bank_id
3381,bank_3
77672,bank_3
18748,bank_1
40807,bank_4
67602,bank_4
6433,bank_0
80304,bank_4
31323,bank_2
55987,bank_2
56243,bank_3
43645,bank_3
2,bank_3
726,bank_3
12631,bank_3
38303,bank_3
14877,bank_3
64861,bank_3
53320,bank_3
8099,bank_3
67404,bank_3
55126,bank_3
4557,bank_3
16754,bank_3
30236,bank_3
41050,bank_3
53563,bank_3
67259,bank_3
78708,bank_3
5058,bank_3
17533,bank_3
29921,bank_3
42327,bank_3
54874,bank_3
66754,bank_3
78734,bank_3
5233,bank_3
21128,bank_3
32783,bank_3
8663,bank_3
45914,bank_3
35407,bank_3
83975,bank_3
47315,bank_3
59969,bank_3
23055,bank_3
61289,bank_3
61495,bank_3
11910,bank_3
23913,bank_3
36290,bank_3
49700,bank_3
61617,bank_3
73766,bank_3
85869,bank_3
12796,bank_3
25973,bank_3
76735,bank_3
30756,bank_3
36209,bank_3
64506,bank_3
37885,bank_3
49765,bank_3
50844,bank_3
62241,bank_3
29571,bank_4
6147,bank_3
18906,bank_3
30815,bank_3
43720,bank_3
56126,bank_3
68583,bank_3
80152,bank_3
75136,bank_3
13860,bank_2
88206,bank_3
3,bank_3
13540,bank_3
26741,bank_3
37754,bank_3
50061,bank_3
63998,bank_3
74874,bank_3
88605,bank_3
61233,bank_3
86739,bank_3
73019,bank_3
26707,bank_3
41174,bank_3
13145,bank_4
63267,bank_4
43726,bank_2
6730,bank_3
19482,bank_3
22360,bank_3
31595,bank_3
44208,bank_3
56216,bank_3
67912,bank_3
80086,bank_3
36132,bank_3
73425,bank_3
61057,bank_3
8555,bank_3
48628,bank_3
37899,bank_4
22604,bank_1
73646,bank_3
68894,bank_3
48569,bank_3
76183,bank_4
86369,bank_2
51567,bank_3
17005,bank_1
5303,bank_0
39377,bank_0
78885,bank_4
55115,bank_3
61492,bank_3
41661,bank_1
28583,bank_1
67061,bank_4
7,bank_3
13592,bank_3
26071,bank_3
37529,bank_3
49861,bank_3
63308,bank_3
76329,bank_3
88107,bank_3
57966,bank_3
12613,bank_3
27459,bank_3
76882,bank_3
2230,bank_3
52233,bank_3
14776,bank_3
64749,bank_3
630,bank_3
13252,bank_3
26824,bank_3
38592,bank_3
50774,bank_3
62636,bank_3
75817,bank_3
88126,bank_3
88427,bank_3
27321,bank_3
9,bank_3
13506,bank_3
26086,bank_3
37905,bank_3
51666,bank_3
63755,bank_3
75778,bank_3
88645,bank_3
66958,bank_3
6305,bank_3
25532,bank_3
51570,bank_3
63094,bank_3
11,bank_3
13605,bank_3
26147,bank_3
37600,bank_3
50883,bank_3
63457,bank_3
75895,bank_3
87073,bank_3
12,bank_3
12781,bank_3
25678,bank_3
38420,bank_3
49875,bank_3
62940,bank_3
75889,bank_3
87360,bank_3
4117,bank_3
9047,bank_3
21523,bank_3
34518,bank_3
46777,bank_3
60465,bank_3
71892,bank_3
83712,bank_3
26266,bank_3
87761,bank_4
812,bank_1
13652,bank_2
39736,bank_2
62356,bank_4
75396,bank_4
24454,bank_3
37421,bank_3
50953,bank_4
38477,bank_3
50188,bank_3
25352,bank_3
28741,bank_3
51739,bank_3
42311,bank_3
16,bank_0
62638,bank_0
46070,bank_3
27734,bank_4
59505,bank_1
38142,bank_0
30920,bank_2
8825,bank_4
21044,bank_4
32475,bank_4
44550,bank_4
58558,bank_4
70990,bank_4
83096,bank_4
17,bank_4
13404,bank_4
26611,bank_4
37815,bank_4
51715,bank_4
63515,bank_4
76354,bank_4
87405,bank_4
87821,bank_4
68358,bank_2
31519,bank_3
6405,bank_3
18863,bank_3
31161,bank_3
44410,bank_3
56429,bank_3
67806,bank_3
80341,bank_3
6797,bank_0
42908,bank_0
81394,bank_0
43099,bank_3
8449,bank_3
20,bank_4
13407,bank_4
26614,bank_4
37818,bank_4
51718,bank_4
63518,bank_4
76357,bank_4
87408,bank_4
72043,bank_4
60389,bank_3
66220,bank_3
22283,bank_2
47787,bank_3
84350,bank_4
10090,bank_2
85147,bank_2
34706,bank_2
38873,bank_3
29102,bank_3
39859,bank_3
53359,bank_3
32933,bank_2
8104,bank_1
44974,bank_3
47541,bank_3
49541,bank_4
58213,bank_4
20314,bank_2
70586,bank_4
83455,bank_4
23,bank_1
87567,bank_1
25659,bank_2
32340,bank_3
34475,bank_1
7084,bank_1
13053,bank_1
56554,bank_2
81115,bank_3
10037,bank_1
18603,bank_1
23115,bank_1
34452,bank_1
47657,bank_1
59353,bank_1
71355,bank_1
83731,bank_1
43964,bank_2
45822,bank_2
69011,bank_3
46352,bank_4
31584,bank_1
28670,bank_3
56077,bank_3
78460,bank_3
28337,bank_3
6388,bank_3
19143,bank_3
30743,bank_3
43681,bank_3
55653,bank_3
68072,bank_3
80486,bank_3
72959,bank_3
79338,bank_3
67514,bank_3
25,bank_3
37432,bank_3
75733,bank_3
7988,bank_3
88457,bank_3
60119,bank_0
21199,bank_3
72438,bank_3
32825,bank_3
4786,bank_2
45701,bank_3
50692,bank_4
4506,bank_4
6273,bank_4
17984,bank_4
31721,bank_4
42803,bank_4
55372,bank_4
68892,bank_4
80288,bank_4
58394,bank_3
64682,bank_3
76886,bank_3
70073,bank_3
77743,bank_4
29337,bank_2
16856,bank_4
48281,bank_4
83415,bank_3
26,bank_0
76187,bank_4
2373,bank_4
62794,bank_4
6944,bank_4
18878,bank_4
31378,bank_4
43484,bank_4
56820,bank_4
68844,bank_4
80156,bank_4
87482,bank_4
50809,bank_3
24289,bank_2
26187,bank_2
13716,bank_1
38405,bank_3
9510,bank_0
48114,bank_3
60470,bank_3
35014,bank_2
41603,bank_2
22126,bank_1
68643,bank_1
72745,bank_4
48574,bank_4
85012,bank_4
38254,bank_3
2223,bank_3
30608,bank_3
81355,bank_3
47718,bank_3
59561,bank_3
27549,bank_3
77322,bank_3
56426,bank_3
64288,bank_3
64765,bank_3
30,bank_1
12716,bank_1
25786,bank_1
39245,bank_1
51495,bank_1
63437,bank_1
75261,bank_1
87602,bank_1
36663,bank_2
31,bank_0
63274,bank_0
2611,bank_4
6780,bank_4
19100,bank_4
31003,bank_4
44198,bank_4
56668,bank_4
68897,bank_4
81231,bank_4
1944,bank_3
15090,bank_3
28158,bank_3
40562,bank_3
51844,bank_3
64907,bank_3
77867,bank_3
2990,bank_3
28318,bank_3
66514,bank_3
4955,bank_3
16304,bank_3
28885,bank_3
41498,bank_3
53777,bank_3
67166,bank_3
79555,bank_3
44249,bank_3
33896,bank_3
8654,bank_3
71362,bank_3
73511,bank_3
17991,bank_0
55429,bank_3
75182,bank_3
6585,bank_0
65730,bank_4
29108,bank_4
80665,bank_4
30561,bank_2
42865,bank_2
84509,bank_2
68597,bank_3
6057,bank_3
17990,bank_3
31515,bank_3
43946,bank_3
56774,bank_3
69279,bank_3
81426,bank_3
7425,bank_3
3759,bank_3
17544,bank_3
28824,bank_3
41557,bank_3
53455,bank_3
67227,bank_3
79226,bank_3
34,bank_1
13694,bank_2
38354,bank_2
37733,bank_3
74845,bank_3
13906,bank_1
65081,bank_1
62747,bank_3
50107,bank_3
73807,bank_3
87630,bank_4
26062,bank_2
15594,bank_3
59364,bank_3
10684,bank_3
75236,bank_3
7175,bank_3
62895,bank_3
49855,bank_3
40240,bank_3
83625,bank_3
64287,bank_3
39802,bank_3
58668,bank_3
49003,bank_3
15155,bank_3
11725,bank_3
24514,bank_3
37079,bank_3
49797,bank_3
60777,bank_3
74132,bank_3
86049,bank_3
13477,bank_3
88750,bank_3
50698,bank_3
39186,bank_3
38,bank_3
13146,bank_3
25107,bank_3
39103,bank_3
50374,bank_3
62868,bank_3
76146,bank_3
87751,bank_3
79850,bank_3
26596,bank_3
76039,bank_3
88746,bank_3
38383,bank_3
51368,bank_3
