tran_id,alert_id
1,-1
12857,-1
26092,-1
38224,-1
49923,-1
53276,-1
62917,-1
74883,-1
88014,-1
3381,-1
77672,-1
40634,-1
14602,-1
28164,-1
5764,-1
18892,-1
30991,-1
43429,-1
55344,-1
64669,-1
69257,-1
80314,-1
6433,-1
13056,-1
50090,-1
87098,-1
1674,-1
38502,-1
75703,-1
17122,-1
78996,-1
7352,-1
57698,-1
20618,-1
56985,-1
59350,-1
22085,-1
84500,-1
35853,-1
74517,-1
11242,-1
50844,-1
6161,-1
19419,-1
31838,-1
44427,-1
56794,-1
68615,-1
80084,-1
4,-1
13193,-1
26334,-1
37974,-1
51032,-1
63193,-1
75537,-1
87425,-1
26707,-1
5095,-1
14243,-1
88340,-1
41908,-1
9066,-1
21973,-1
34978,-1
47622,-1
59056,-1
72777,-1
84438,-1
5303,-1
39377,-1
9554,-1
21839,-1
35528,-1
48001,-1
59888,-1
71302,-1
84254,-1
87111,-1
27459,-1
76882,-1
2230,-1
52233,-1
14776,-1
64749,-1
40345,-1
28541,-1
66430,-1
10,-1
11556,-1
23408,-1
37193,-1
48236,-1
62039,-1
74189,-1
86780,-1
7413,-1
20610,-1
33646,-1
45458,-1
57550,-1
70693,-1
81910,-1
16194,-1
67324,-1
8634,-1
32346,-1
58257,-1
83084,-1
13,-1
12651,-1
26170,-1
38803,-1
50151,-1
63671,-1
74849,-1
88127,-1
7372,-1
69363,-1
15,-1
13383,-1
25412,-1
37481,-1
50733,-1
62592,-1
75288,-1
87740,-1
40573,-1
5137,-1
79329,-1
16855,-1
16,-1
62638,-1
14100,-1
75717,-1
20260,-1
57927,-1
44943,-1
8878,-1
70122,-1
25194,-1
87807,-1
21351,-1
69744,-1
38142,-1
50070,-1
6797,-1
42908,-1
81394,-1
31642,-1
67654,-1
32873,-1
82251,-1
4325,-1
78828,-1
22,-1
12814,-1
25766,-1
38780,-1
50363,-1
63955,-1
76425,-1
88295,-1
76318,-1
17091,-1
37911,-1
66714,-1
4455,-1
53938,-1
28670,-1
56077,-1
78460,-1
42456,-1
2492,-1
14807,-1
16863,-1
43301,-1
5276,-1
28554,-1
66586,-1
29695,-1
24,-1
38063,-1
74619,-1
12595,-1
51493,-1
87315,-1
27017,-1
76857,-1
25189,-1
62412,-1
11317,-1
73708,-1
25,-1
37432,-1
75733,-1
26819,-1
63405,-1
14044,-1
51450,-1
58264,-1
88741,-1
60119,-1
26,-1
9510,-1
27,-1
87400,-1
6348,-1
6372,-1
19333,-1
31112,-1
43659,-1
56046,-1
69308,-1
81610,-1
7034,-1
19332,-1
19609,-1
31431,-1
44053,-1
55244,-1
68726,-1
80343,-1
12369,-1
84583,71
14647,-1
40070,-1
64214,-1
4602,-1
43772,-1
11829,-1
24778,-1
37031,-1
48915,-1
60837,-1
74590,-1
86720,-1
6534,-1
19106,-1
32054,-1
43991,-1
55276,-1
68207,-1
80206,-1
45388,-1
24602,-1
86377,-1
29,-1
13017,-1
25331,-1
39151,-1
51317,-1
62928,-1
76160,-1
88810,-1
5997,-1
18943,-1
30740,-1
43079,-1
56733,-1
68885,-1
80027,-1
35955,-1
10206,-1
34612,-1
71284,-1
31,-1
63274,-1
13467,-1
75710,-1
25596,-1
87577,-1
1944,-1
15090,-1
28158,-1
40562,-1
51844,-1
64907,-1
77867,-1
38506,-1
2990,-1
50221,-1
2010,-1
14693,-1
27556,-1
39926,-1
52177,-1
65294,-1
77640,-1
32,-1
12774,-1
25312,-1
37645,-1
50609,-1
63929,-1
76406,-1
88267,-1
54360,-1
6862,-1
68769,-1
18041,-1
81556,-1
8496,-1
69982,-1
62026,-1
10352,-1
46541,-1
84983,-1
17991,-1
6585,-1
58472,66
6057,-1
17990,-1
31515,-1
43946,-1
56774,-1
69279,-1
81426,-1
7425,-1
33,-1
12834,-1
25825,-1
38988,-1
51028,-1
63764,-1
75146,-1
87960,-1
3759,-1
17544,-1
28824,-1
41557,-1
53455,-1
67227,-1
79226,-1
32259,-1
82430,-1
334,-1
2409,-1
13171,-1
75536,-1
14490,-1
31090,-1
20339,-1
22754,-1
83019,-1
9689,-1
15936,-1
40456,-1
64428,-1
1208,-1
50461,-1
43930,-1
1324,-1
18083,-1
44297,-1
68019,-1
74762,-1
115,-1
30163,-1
38,-1
13146,-1
25107,-1
39103,-1
50374,-1
62868,-1
76146,-1
87751,-1
5507,-1
56298,-1
3600,-1
7268,-1
44901,-1
82947,-1
17698,-1
29653,-1
40,-1
51433,-1
14320,-1
62905,-1
37625,-1
88603,-1
25595,-1
75192,-1
41,-1
4991,-1
42192,-1
78573,-1
17292,-1
54989,-1
29958,-1
66705,-1
42,-1
14311,-1
25068,-1
37596,-1
50845,-1
63817,-1
76393,-1
87052,-1
3657,-1
17232,-1
29669,-1
41377,-1
54293,-1
67096,-1
79657,-1
10723,-1
22601,-1
35017,-1
46765,-1
58908,-1
72004,-1
83477,-1
52845,-1
10096,-1
84074,-1
34350,-1
44,-1
13837,-1
26578,-1
38704,-1
50896,-1
63957,-1
75818,-1
88524,-1
2321,-1
52132,-1
20898,-1
45,-1
13320,-1
26050,-1
39023,-1
51562,-1
63371,-1
75739,-1
88372,-1
263,-1
62742,-1
46,-1
47,-1
13376,-1
26759,-1
38442,-1
51072,-1
63639,-1
75151,-1
88177,-1
87965,-1
59900,-1
48,-1
51671,-1
13959,-1
62580,-1
37864,-1
87592,-1
26511,-1
75271,-1
1548,-1
5427,-1
13479,-1
19321,-1
31858,-1
42965,-1
56237,-1
68599,-1
80453,-1
3831,-1
13564,-1
64076,-1
12741,-1
75693,-1
7002,-1
69049,-1
44483,-1
38596,-1
29545,-1
21517,-1
84004,-1
8368,-1
604,-1
2879,-1
65679,-1
49542,-1
1425,-1
6118,-1
14036,-1
26099,-1
37448,-1
50521,-1
62438,-1
75542,-1
88280,-1
51,-1
12964,-1
26503,-1
37921,-1
50711,-1
63613,-1
75743,-1
88312,-1
20971,-1
52,-1
75865,-1
24879,18
63318,-1
13259,18
