bank_id,branch_id,acct_id,close_dt
bank_4,1,0,4754-11-29T00:00:00Z
bank_4,1,1,4754-11-29T00:00:00Z
bank_4,1,2,4754-11-29T00:00:00Z
bank_4,1,3,4754-11-29T00:00:00Z
bank_4,1,4,4754-11-29T00:00:00Z
bank_4,1,5,4754-11-29T00:00:00Z
bank_4,1,6,4754-11-29T00:00:00Z
bank_4,1,7,4754-11-29T00:00:00Z
bank_4,1,8,4754-11-29T00:00:00Z
bank_4,1,9,4754-11-29T00:00:00Z
bank_4,1,10,4754-11-29T00:00:00Z
bank_4,1,11,4754-11-29T00:00:00Z
bank_4,1,12,4754-11-29T00:00:00Z
bank_4,1,13,4754-11-29T00:00:00Z
bank_4,1,14,4754-11-29T00:00:00Z
bank_4,1,15,4754-11-29T00:00:00Z
bank_4,1,16,4754-11-29T00:00:00Z
bank_4,1,17,4754-11-29T00:00:00Z
bank_4,1,18,4754-11-29T00:00:00Z
bank_4,1,19,4754-11-29T00:00:00Z
bank_4,1,20,4754-11-29T00:00:00Z
bank_4,1,21,4754-11-29T00:00:00Z
bank_4,1,22,4754-11-29T00:00:00Z
bank_4,1,23,4754-11-29T00:00:00Z
bank_4,1,24,4754-11-29T00:00:00Z
bank_4,1,25,4754-11-29T00:00:00Z
bank_4,1,26,4754-11-29T00:00:00Z
bank_4,1,27,4754-11-29T00:00:00Z
bank_4,1,28,4754-11-29T00:00:00Z
bank_4,1,29,4754-11-29T00:00:00Z
bank_4,1,30,4754-11-29T00:00:00Z
bank_4,1,31,4754-11-29T00:00:00Z
bank_4,1,32,4754-11-29T00:00:00Z
bank_4,1,33,4754-11-29T00:00:00Z
bank_4,1,34,4754-11-29T00:00:00Z
bank_4,1,35,4754-11-29T00:00:00Z
bank_4,1,36,4754-11-29T00:00:00Z
bank_4,1,37,4754-11-29T00:00:00Z
bank_4,1,38,4754-11-29T00:00:00Z
bank_4,1,39,4754-11-29T00:00:00Z
bank_4,1,40,4754-11-29T00:00:00Z
bank_4,1,41,4754-11-29T00:00:00Z
bank_4,1,42,4754-11-29T00:00:00Z
bank_4,1,43,4754-11-29T00:00:00Z
bank_4,1,44,4754-11-29T00:00:00Z
