tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id,orig_branch_id,orig_bank_id,bene_branch_id,bene_bank_id
38594,93,262,TRANSFER,378.45,2017-01-22 08:24:27,False,-1,1,bank_1,1,bank_2
32743,1237,262,TRANSFER,798.59,2017-01-19 03:54:05,False,-1,1,bank_4,1,bank_2
1356,1529,1921,TRANSFER,625.27,2017-01-01 08:03:37,False,-1,1,bank_2,1,bank_3
3,867,186,TRANSFER,454.24,2017-01-01 18:59:40,False,-1,1,bank_2,1,bank_1
13059,867,186,TRANSFER,918.35,2017-01-08 11:29:24,False,-1,1,bank_2,1,bank_1
25327,867,186,TRANSFER,768.5,2017-01-15 03:30:22,False,-1,1,bank_2,1,bank_1
38672,867,186,TRANSFER,520.68,2017-01-22 00:12:16,False,-1,1,bank_2,1,bank_1
50595,867,186,TRANSFER,229.15,2017-01-29 20:28:05,False,-1,1,bank_2,1,bank_1
62360,867,186,TRANSFER,475.54,2017-02-05 11:17:51,False,-1,1,bank_2,1,bank_1
74863,867,186,TRANSFER,515.27,2017-02-12 01:15:39,False,-1,1,bank_2,1,bank_1
88541,867,186,TRANSFER,228.52,2017-02-19 03:51:10,False,-1,1,bank_2,1,bank_1
65134,1509,186,TRANSFER,694.8,2017-02-06 09:31:39,False,-1,1,bank_2,1,bank_1
45473,1000,575,TRANSFER,442.61,2017-01-26 13:05:47,False,-1,1,bank_2,1,bank_4
2789,647,703,TRANSFER,715.35,2017-01-02 06:46:39,False,-1,1,bank_2,1,bank_3
37649,1308,1842,TRANSFER,484.4,2017-01-22 20:57:09,False,-1,1,bank_4,1,bank_2
63381,1395,1842,TRANSFER,703.73,2017-02-05 11:14:39,False,-1,1,bank_1,1,bank_2
19190,991,1842,TRANSFER,118.58,2017-01-11 18:56:26,True,73,1,bank_2,1,bank_2
39905,33,1921,TRANSFER,994.94,2017-01-23 10:26:35,False,-1,1,bank_2,1,bank_4
52716,1257,1921,TRANSFER,699.71,2017-01-30 10:34:18,False,-1,1,bank_2,1,bank_4
59268,1560,223,TRANSFER,458.11,2017-02-03 22:35:03,False,-1,1,bank_2,1,bank_4
64311,1308,605,TRANSFER,194.32,2017-02-06 21:21:51,False,-1,1,bank_4,1,bank_2
15689,1809,605,TRANSFER,103.11,2017-01-09 03:31:53,False,-1,1,bank_1,1,bank_2
40406,1887,605,TRANSFER,901.07,2017-01-23 20:35:52,False,-1,1,bank_2,1,bank_2
2902,1000,605,TRANSFER,720.49,2017-01-02 15:12:17,False,-1,1,bank_0,1,bank_2
28080,1890,605,TRANSFER,321.27,2017-01-16 15:35:02,False,-1,1,bank_1,1,bank_2
77836,1991,605,TRANSFER,749.91,2017-02-13 00:01:53,False,-1,1,bank_4,1,bank_2
52649,1224,605,TRANSFER,567.14,2017-01-30 12:21:02,False,-1,1,bank_4,1,bank_2
